Best trial value: 0.06463124061801206
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.423477080271497e-05, 'num_neurons': 146, 'l1_reg': 0.0005181947193645403, 'l2_reg': 9.731243450898303e-06}

All trial results:
Trial 0: Value=0.27558485586377646, Params={'optimizer': 'SGD', 'activation_function': 'silu', 'learning_rate': 0.0005857058549580344, 'num_neurons': 14, 'l1_reg': 5.406238592074009e-05, 'l2_reg': 0.22678087292035196}
Trial 239: Value=0.09173054397414683, Params={'optimizer': 'Lion', 'activation_function': 'relu', 'learning_rate': 9.836797821988966e-05, 'num_neurons': 34, 'l1_reg': 0.0008841981655537141, 'l2_reg': 7.901622125908602e-05}
Trial 240: Value=0.09555928902204282, Params={'optimizer': 'RMSprop', 'activation_function': 'silu', 'learning_rate': 8.396342127450264e-05, 'num_neurons': 29, 'l1_reg': 0.0005152053976065352, 'l2_reg': 0.001409928880330735}
Trial 241: Value=0.08185987718043528, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001080400649109084, 'num_neurons': 32, 'l1_reg': 0.0003151528026347207, 'l2_reg': 0.0020822342293341347}
Trial 242: Value=0.13161269490021402, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00177881679696336, 'num_neurons': 28, 'l1_reg': 0.0004736513701754056, 'l2_reg': 0.006202327447987904}
Trial 243: Value=0.07764975728454325, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00011532887365921847, 'num_neurons': 31, 'l1_reg': 0.0008807729156138811, 'l2_reg': 0.00043210546963611706}
Trial 244: Value=0.07854059797482581, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00012383412127986307, 'num_neurons': 36, 'l1_reg': 0.0009472224714504308, 'l2_reg': 0.0004121425274383182}
Trial 245: Value=0.07909774360368647, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001336631091663442, 'num_neurons': 36, 'l1_reg': 0.0010980130763462977, 'l2_reg': 0.0002873040945200587}
Trial 246: Value=0.0921062121944037, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014112019102741692, 'num_neurons': 37, 'l1_reg': 0.0020519078843723834, 'l2_reg': 0.0002804492320905288}
Trial 247: Value=0.0757539130034673, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014202833312594744, 'num_neurons': 36, 'l1_reg': 0.001133339040283973, 'l2_reg': 0.0003944596919280629}
Trial 248: Value=0.0801977467429225, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00015028832780595916, 'num_neurons': 37, 'l1_reg': 0.0010445661685912911, 'l2_reg': 0.00018804647965956473}
Trial 249: Value=0.4497889187761214, Params={'optimizer': 'SGD', 'activation_function': 'relu', 'learning_rate': 0.00013171408659263454, 'num_neurons': 37, 'l1_reg': 0.0006566963511711564, 'l2_reg': 0.00045126078948705075}
Trial 250: Value=0.11578888253620088, Params={'optimizer': 'Adam', 'activation_function': 'tanh', 'learning_rate': 0.00010202755310470711, 'num_neurons': 35, 'l1_reg': 0.002015561199906183, 'l2_reg': 0.00029952237353022106}
Trial 251: Value=0.07712777634450248, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014428892073024705, 'num_neurons': 34, 'l1_reg': 0.0010984759930830284, 'l2_reg': 0.0005080403797558544}
Trial 252: Value=0.9329938626838167, Params={'optimizer': 'Ftrl', 'activation_function': 'relu', 'learning_rate': 6.990271851876342e-05, 'num_neurons': 34, 'l1_reg': 0.0011961055720815972, 'l2_reg': 0.0004938149207406982}
Trial 253: Value=0.09475514858026128, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00013993248420696278, 'num_neurons': 33, 'l1_reg': 0.002308714407375085, 'l2_reg': 0.000659819979547087}
Trial 254: Value=0.08033755323074464, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00010834879054864044, 'num_neurons': 35, 'l1_reg': 0.0012084456016605274, 'l2_reg': 0.00021070238600741308}
Trial 255: Value=0.079188787348636, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 9.468053509087366e-05, 'num_neurons': 32, 'l1_reg': 0.0006170386275290435, 'l2_reg': 0.00043694013990410005}
Trial 256: Value=0.07575577151528687, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014628748934648772, 'num_neurons': 39, 'l1_reg': 0.0006355289029089917, 'l2_reg': 0.0004413182902572521}
Trial 257: Value=0.0742591725284162, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014157973776149146, 'num_neurons': 39, 'l1_reg': 0.0006752030797824157, 'l2_reg': 0.00041916807929151664}
Trial 258: Value=0.07752500408897116, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014580238649822714, 'num_neurons': 39, 'l1_reg': 0.0010977821622508586, 'l2_reg': 0.00015163405006037896}
Trial 259: Value=0.07142848853545136, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014539166356033881, 'num_neurons': 40, 'l1_reg': 0.00074555757368409, 'l2_reg': 0.00010320366092590905}
Trial 260: Value=0.10105776496234607, Params={'optimizer': 'RMSprop', 'activation_function': 'gelu', 'learning_rate': 0.00015293302178711238, 'num_neurons': 40, 'l1_reg': 0.001901991558892447, 'l2_reg': 0.00046769483566997815}
Trial 261: Value=0.074730918717208, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001535773315712052, 'num_neurons': 40, 'l1_reg': 0.0010710329198185483, 'l2_reg': 0.0001307184313661166}
Trial 262: Value=0.12397446151910506, Params={'optimizer': 'Adamax', 'activation_function': 'relu', 'learning_rate': 0.00015128646385071293, 'num_neurons': 40, 'l1_reg': 0.00021785096846509906, 'l2_reg': 0.00010661220748857155}
Trial 263: Value=0.07704780612301003, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001479530804738294, 'num_neurons': 40, 'l1_reg': 0.0012128270966560082, 'l2_reg': 0.00012754022576980266}
Trial 264: Value=0.0968142417665989, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001470932093783854, 'num_neurons': 39, 'l1_reg': 0.0025628862333286753, 'l2_reg': 9.286823334349183e-05}
Trial 265: Value=0.07912560306969513, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.000122511173827721, 'num_neurons': 41, 'l1_reg': 0.0014331514733614268, 'l2_reg': 4.6267713601923696e-05}
Trial 266: Value=0.08747462562758473, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00016050150304268226, 'num_neurons': 39, 'l1_reg': 0.0012699727298960853, 'l2_reg': 0.00013775866378624722}
Trial 267: Value=2.342226411275925, Params={'optimizer': 'Adadelta', 'activation_function': 'relu', 'learning_rate': 0.00013655083180570132, 'num_neurons': 37, 'l1_reg': 0.0008763435245196842, 'l2_reg': 0.00017220197322492434}
Trial 268: Value=0.8111464699383529, Params={'optimizer': 'Adagrad', 'activation_function': 'relu', 'learning_rate': 0.00012015635240666512, 'num_neurons': 42, 'l1_reg': 0.0020274149834371737, 'l2_reg': 0.00017333481614313344}
Trial 269: Value=0.09174405473479759, Params={'optimizer': 'RMSprop', 'activation_function': 'mish', 'learning_rate': 0.00014902284417810747, 'num_neurons': 38, 'l1_reg': 0.0002700379482608903, 'l2_reg': 0.00010702553512842303}
Trial 270: Value=0.11685799496060373, Params={'optimizer': 'RMSprop', 'activation_function': 'sigmoid', 'learning_rate': 0.00011961339105685515, 'num_neurons': 41, 'l1_reg': 0.0006386362345736775, 'l2_reg': 0.00030520191028805523}
Trial 271: Value=0.08322318556215742, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001383286916770955, 'num_neurons': 37, 'l1_reg': 0.0012280340058392096, 'l2_reg': 0.00024343678635553332}
Trial 272: Value=0.0882911895650169, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00015938773126088457, 'num_neurons': 34, 'l1_reg': 0.00033652984303652087, 'l2_reg': 9.002778228526654e-05}
Trial 273: Value=0.09500834700162308, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00011214757756876904, 'num_neurons': 38, 'l1_reg': 0.003065673883985371, 'l2_reg': 6.0797909883827815e-05}
Trial 274: Value=0.07604415853780006, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00013048380290064173, 'num_neurons': 42, 'l1_reg': 0.0007264694524671357, 'l2_reg': 0.000419539922786929}
Trial 275: Value=0.15304803909487857, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00013810713662952282, 'num_neurons': 43, 'l1_reg': 1.0722705664231405e-08, 'l2_reg': 0.00039701646428704293}
Trial 276: Value=0.07584178414087488, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001683109004246823, 'num_neurons': 40, 'l1_reg': 0.0005766361381023216, 'l2_reg': 0.000143041494158883}
Trial 277: Value=0.09032932001500628, Params={'optimizer': 'RMSprop', 'activation_function': 'silu', 'learning_rate': 0.00016095149712417667, 'num_neurons': 44, 'l1_reg': 0.0005046285370667999, 'l2_reg': 3.414268005278233e-05}
Trial 278: Value=0.07785445659488949, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001774190226538453, 'num_neurons': 40, 'l1_reg': 0.0005561059894222866, 'l2_reg': 0.0001413919364627528}
Trial 279: Value=0.09503398518932238, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00017150675351608818, 'num_neurons': 42, 'l1_reg': 0.0002495251531604907, 'l2_reg': 0.00015830328557014166}
Trial 280: Value=0.11076435280456925, Params={'optimizer': 'Lion', 'activation_function': 'relu', 'learning_rate': 0.00018735641424281384, 'num_neurons': 42, 'l1_reg': 0.00036001509898502936, 'l2_reg': 0.00022026587232399673}
Trial 281: Value=0.07367311972666314, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00015442649868212062, 'num_neurons': 40, 'l1_reg': 0.0006418070152638028, 'l2_reg': 0.00010444503108247536}
Trial 282: Value=0.0869348108723036, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00015683249011022728, 'num_neurons': 46, 'l1_reg': 0.0005413389974496914, 'l2_reg': 6.284304242281043e-05}
Trial 283: Value=0.11462347295629798, Params={'optimizer': 'RMSprop', 'activation_function': 'tanh', 'learning_rate': 0.00014339247651617653, 'num_neurons': 40, 'l1_reg': 0.0013693455560701954, 'l2_reg': 0.0001244098761887966}
Trial 284: Value=0.5110955250855727, Params={'optimizer': 'SGD', 'activation_function': 'relu', 'learning_rate': 0.0001719035569589539, 'num_neurons': 40, 'l1_reg': 0.00017703589107221165, 'l2_reg': 6.9978935197991e-05}
Trial 285: Value=0.07281434501402999, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00012787154616568367, 'num_neurons': 39, 'l1_reg': 0.0004123568368887547, 'l2_reg': 9.514093809794768e-05}
Trial 286: Value=0.07665401478739338, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001372084804661575, 'num_neurons': 39, 'l1_reg': 0.0007260693222590549, 'l2_reg': 0.00012772930690048878}
Trial 287: Value=0.5878471618921581, Params={'optimizer': 'Ftrl', 'activation_function': 'gelu', 'learning_rate': 0.0001336803301970854, 'num_neurons': 46, 'l1_reg': 0.0007842335702706433, 'l2_reg': 3.919958485330249e-05}
Trial 288: Value=0.09332040305538654, Params={'optimizer': 'Adam', 'activation_function': 'relu', 'learning_rate': 0.00013022730021919053, 'num_neurons': 38, 'l1_reg': 0.0018873506887884378, 'l2_reg': 0.00011056872211561107}
Trial 289: Value=0.07692976201032224, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001478635297206326, 'num_neurons': 43, 'l1_reg': 0.0003123512663483756, 'l2_reg': 8.966397384487053e-05}
Trial 290: Value=0.09331603563879194, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014802834219624465, 'num_neurons': 44, 'l1_reg': 0.00024913197746920647, 'l2_reg': 5.5981136182586175e-05}
Trial 291: Value=0.08039411463858419, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00020408346414921942, 'num_neurons': 43, 'l1_reg': 0.00033480707169544684, 'l2_reg': 8.498596995301552e-05}
Trial 292: Value=0.09737305830371519, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00015432649959653681, 'num_neurons': 39, 'l1_reg': 0.00017138996285783842, 'l2_reg': 0.0002045273682918864}
Trial 293: Value=0.12011588237170555, Params={'optimizer': 'Adamax', 'activation_function': 'relu', 'learning_rate': 0.00013141045498121854, 'num_neurons': 50, 'l1_reg': 0.00035617712487171036, 'l2_reg': 2.3306869785962282e-05}
Trial 294: Value=0.11544571825840823, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00012041687994924371, 'num_neurons': 43, 'l1_reg': 7.728227326469255e-05, 'l2_reg': 0.00010202586117658928}
Trial 295: Value=0.11952388716185051, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00016896144977556477, 'num_neurons': 38, 'l1_reg': 0.00011446270850979344, 'l2_reg': 4.933686949136965e-05}
Trial 296: Value=0.07446861197615084, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00014522291434151518, 'num_neurons': 46, 'l1_reg': 0.0006292437777342727, 'l2_reg': 0.00014169781732731296}
Trial 297: Value=0.07513694231389295, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00011274657634455004, 'num_neurons': 45, 'l1_reg': 0.0005795927668925179, 'l2_reg': 0.00024031773562898235}
Trial 298: Value=0.11301783803078737, Params={'optimizer': 'RMSprop', 'activation_function': 'sigmoid', 'learning_rate': 0.00011222165335898674, 'num_neurons': 48, 'l1_reg': 0.0002818272966728987, 'l2_reg': 0.00020333268961784698}
Trial 299: Value=0.16512736207492965, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001059133930313489, 'num_neurons': 47, 'l1_reg': 0.000499704075593311, 'l2_reg': 0.6710105087775671}
Trial 300: Value=0.07130932936123856, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00012528146457914394, 'num_neurons': 45, 'l1_reg': 0.0006078590892193639, 'l2_reg': 9.028663306294581e-05}
Trial 301: Value=0.16991463182118371, Params={'optimizer': 'RMSprop', 'activation_function': 'mish', 'learning_rate': 0.00577139002786118, 'num_neurons': 50, 'l1_reg': 0.00019258803634309874, 'l2_reg': 7.701495980604345e-05}
Trial 302: Value=1.5225397285752773, Params={'optimizer': 'Adadelta', 'activation_function': 'relu', 'learning_rate': 0.000195770504283369, 'num_neurons': 45, 'l1_reg': 0.0004985591011891974, 'l2_reg': 0.00026431637119663437}
Trial 303: Value=0.08732329328452672, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00015603197430189936, 'num_neurons': 45, 'l1_reg': 0.0003734037936095766, 'l2_reg': 9.826322402187825e-05}
Trial 304: Value=0.07088358563860826, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00012864513485003583, 'num_neurons': 42, 'l1_reg': 0.0007195259418816423, 'l2_reg': 3.4251141889054116e-05}
Trial 305: Value=0.7495608719172445, Params={'optimizer': 'Adagrad', 'activation_function': 'silu', 'learning_rate': 0.00012499211365295528, 'num_neurons': 47, 'l1_reg': 0.0006634698065144705, 'l2_reg': 3.292577213462686e-05}
Trial 306: Value=0.1785065773466641, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001042234450508539, 'num_neurons': 5, 'l1_reg': 0.00026830741079655136, 'l2_reg': 4.9295133377892886e-05}
Trial 307: Value=0.18584912822751273, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00012673871087015174, 'num_neurons': 52, 'l1_reg': 1.4454438519642934e-07, 'l2_reg': 0.00012750410681746396}
Trial 308: Value=0.07028220411834409, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00010902535309009305, 'num_neurons': 42, 'l1_reg': 0.0006565109243632808, 'l2_reg': 0.00013945642177070545}
Trial 309: Value=0.07917352962285819, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00010767694571414739, 'num_neurons': 43, 'l1_reg': 0.00043577420664121607, 'l2_reg': 2.7155182173605648e-05}
Trial 310: Value=0.103328272763835, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00011589923051672041, 'num_neurons': 43, 'l1_reg': 0.00016564659331756685, 'l2_reg': 6.0192869836666144e-05}
Trial 311: Value=0.07292857283388271, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 9.960102305727309e-05, 'num_neurons': 46, 'l1_reg': 0.0006652662235557597, 'l2_reg': 0.00029520333624257416}
Trial 312: Value=0.07309479037197741, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 9.890547366002261e-05, 'num_neurons': 49, 'l1_reg': 0.0006715243147987253, 'l2_reg': 0.00025966179984408106}
Trial 313: Value=0.10917483002121064, Params={'optimizer': 'RMSprop', 'activation_function': 'tanh', 'learning_rate': 7.707899037013046e-05, 'num_neurons': 50, 'l1_reg': 0.000785756255558222, 'l2_reg': 0.00026603719309857055}
Trial 314: Value=0.07188480167905967, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 9.816601023575884e-05, 'num_neurons': 54, 'l1_reg': 0.0007348886202663958, 'l2_reg': 0.00020651778438859967}
Trial 315: Value=0.10973981020296307, Params={'optimizer': 'Lion', 'activation_function': 'relu', 'learning_rate': 9.741504651542716e-05, 'num_neurons': 59, 'l1_reg': 0.001811449128581364, 'l2_reg': 0.00023121081715156617}
Trial 316: Value=0.07611392525841133, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.077310381089655e-05, 'num_neurons': 54, 'l1_reg': 0.0005949502134036965, 'l2_reg': 0.0002669693933566814}
Trial 317: Value=0.08700697181593138, Params={'optimizer': 'RMSprop', 'activation_function': 'gelu', 'learning_rate': 7.498031698122118e-05, 'num_neurons': 55, 'l1_reg': 0.0005686171636579592, 'l2_reg': 0.000320961346636989}
Trial 318: Value=0.08276244524675315, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 7.747829828321516e-05, 'num_neurons': 52, 'l1_reg': 0.001484740212672402, 'l2_reg': 0.00016510459634985804}
Trial 319: Value=0.07613129785946457, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 9.603878647281271e-05, 'num_neurons': 49, 'l1_reg': 0.0010106752774623007, 'l2_reg': 0.00023990839359616973}
Trial 320: Value=0.08225145973100506, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 5.24890752217322e-05, 'num_neurons': 58, 'l1_reg': 0.0009757398464530526, 'l2_reg': 0.0002892875863965255}
Trial 321: Value=0.08945895229181537, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 6.435042636830737e-05, 'num_neurons': 52, 'l1_reg': 0.0018386055059002634, 'l2_reg': 0.00018241188437647998}
Trial 322: Value=0.5196635645449269, Params={'optimizer': 'SGD', 'activation_function': 'relu', 'learning_rate': 9.646408186061332e-05, 'num_neurons': 56, 'l1_reg': 0.001092046277868796, 'l2_reg': 0.00033785658658870603}
Trial 323: Value=0.07188137919583039, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.687355892557639e-05, 'num_neurons': 48, 'l1_reg': 0.0004855531467772881, 'l2_reg': 0.00019974993720570943}
Trial 324: Value=0.07562837081063908, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 7.195369820256446e-05, 'num_neurons': 61, 'l1_reg': 0.00044616885142009777, 'l2_reg': 0.00018312365315463334}
Trial 325: Value=0.07897719954373285, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 7.037764935212739e-05, 'num_neurons': 66, 'l1_reg': 0.0003580189933673997, 'l2_reg': 0.0001895364721521382}
Trial 326: Value=0.1077742230652699, Params={'optimizer': 'Adam', 'activation_function': 'relu', 'learning_rate': 6.155541478880751e-05, 'num_neurons': 62, 'l1_reg': 0.0002307596258571251, 'l2_reg': 0.000132318869946236}
Trial 327: Value=0.6171571088955566, Params={'optimizer': 'Ftrl', 'activation_function': 'relu', 'learning_rate': 8.224058548701645e-05, 'num_neurons': 55, 'l1_reg': 0.0004945336805416091, 'l2_reg': 0.0002443999221168693}
Trial 328: Value=0.0728103765803388, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.094749647968168e-05, 'num_neurons': 72, 'l1_reg': 0.00044027288326770704, 'l2_reg': 7.937269505581568e-05}
Trial 329: Value=0.11394656250759122, Params={'optimizer': 'RMSprop', 'activation_function': 'sigmoid', 'learning_rate': 5.568915998734395e-05, 'num_neurons': 65, 'l1_reg': 0.0002657452655429145, 'l2_reg': 7.994753600562534e-05}
Trial 330: Value=0.080560693358866, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 7.928300507161685e-05, 'num_neurons': 48, 'l1_reg': 0.0003976842057847673, 'l2_reg': 6.447567433477215e-05}
Trial 331: Value=0.09846736371883401, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.429652890376591e-05, 'num_neurons': 67, 'l1_reg': 0.0001460800300189218, 'l2_reg': 0.00013078783751450303}
Trial 332: Value=0.12553494824914022, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 6.774734737589563e-05, 'num_neurons': 76, 'l1_reg': 0.0005210106978001216, 'l2_reg': 8.626018533595751e-05}
Trial 333: Value=0.10480855453997708, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 7.308698349618618e-05, 'num_neurons': 59, 'l1_reg': 0.00011268782538554981, 'l2_reg': 3.85900181450863e-05}
Trial 334: Value=0.0873374489421165, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.654133254181322e-05, 'num_neurons': 51, 'l1_reg': 0.0002814748737084989, 'l2_reg': 0.00037176895473539883}
Trial 335: Value=0.181883837567419, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 1.1072435057877361e-05, 'num_neurons': 61, 'l1_reg': 0.0006463719614495896, 'l2_reg': 0.0001794218541619054}
Trial 336: Value=1.0719450595223188, Params={'optimizer': 'Adagrad', 'activation_function': 'relu', 'learning_rate': 0.00010317154849105567, 'num_neurons': 47, 'l1_reg': 0.00041341258326905067, 'l2_reg': 6.804042351511726}
Trial 337: Value=2.168550282782014, Params={'optimizer': 'Adadelta', 'activation_function': 'relu', 'learning_rate': 6.032566266618264e-05, 'num_neurons': 69, 'l1_reg': 0.00022377777769478429, 'l2_reg': 0.0001232272272800788}
Trial 338: Value=0.1410161704597008, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.833582930110447e-05, 'num_neurons': 47, 'l1_reg': 3.3678489481477e-08, 'l2_reg': 0.0004663796930681978}
Trial 339: Value=0.0921273640997458, Params={'optimizer': 'RMSprop', 'activation_function': 'silu', 'learning_rate': 7.109711104492934e-05, 'num_neurons': 56, 'l1_reg': 0.0006830293205945277, 'l2_reg': 7.311944255090314e-05}
Trial 340: Value=0.07925558621530836, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00010405104172179239, 'num_neurons': 51, 'l1_reg': 0.0003947632503310974, 'l2_reg': 0.0001930375218628351}
Trial 341: Value=0.08833321101968744, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 7.93827174681977e-05, 'num_neurons': 72, 'l1_reg': 0.0015061874867234573, 'l2_reg': 0.00036061582952130793}
Trial 342: Value=0.06840191056459956, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00011610564539963268, 'num_neurons': 84, 'l1_reg': 0.000705484361916504, 'l2_reg': 4.731144883466345e-05}
Trial 343: Value=0.09901319215627846, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00011410224687942637, 'num_neurons': 77, 'l1_reg': 0.0023679175877610024, 'l2_reg': 4.54304614036921e-05}
Trial 344: Value=1.0025256012242574, Params={'optimizer': 'RMSprop', 'activation_function': 'tanh', 'learning_rate': 0.00012131486908034737, 'num_neurons': 88, 'l1_reg': 90.07605494342323, 'l2_reg': 2.3856740640522053e-05}
Trial 345: Value=0.07113238995734082, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00010256656041362628, 'num_neurons': 79, 'l1_reg': 0.000814522322419371, 'l2_reg': 5.3090844262026e-05}
Trial 346: Value=0.0795107322363375, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 9.928135774674277e-05, 'num_neurons': 73, 'l1_reg': 0.0011367252979191968, 'l2_reg': 4.3852529606450654e-05}
Trial 347: Value=0.07900322130223779, Params={'optimizer': 'RMSprop', 'activation_function': 'gelu', 'learning_rate': 0.00010302655747042923, 'num_neurons': 94, 'l1_reg': 0.00044676124623420235, 'l2_reg': 6.872565650848069e-05}
Trial 348: Value=0.08279915107303391, Params={'optimizer': 'Lion', 'activation_function': 'relu', 'learning_rate': 8.939398077707174e-05, 'num_neurons': 75, 'l1_reg': 0.0002714738822261651, 'l2_reg': 0.0001052655569291269}
Trial 349: Value=0.07259686595133606, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001120447303487906, 'num_neurons': 84, 'l1_reg': 0.0008249248812665205, 'l2_reg': 1.8310919830792595e-05}
Trial 350: Value=0.1043628141825217, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00011163384898735137, 'num_neurons': 77, 'l1_reg': 0.002827652418432625, 'l2_reg': 2.1280499894554306e-05}
Trial 351: Value=0.08618043128072372, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 9.186154823076868e-05, 'num_neurons': 80, 'l1_reg': 0.0014240346146554156, 'l2_reg': 2.7772551208695313e-05}
Trial 352: Value=0.07576816299076597, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00010919806541766099, 'num_neurons': 106, 'l1_reg': 0.0008485848822720716, 'l2_reg': 3.8089300006447684e-05}
Trial 353: Value=0.08155788069956324, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 4.475065339697939e-05, 'num_neurons': 111, 'l1_reg': 0.001006598764762186, 'l2_reg': 1.684745136613338e-05}
Trial 354: Value=0.3865913148373519, Params={'optimizer': 'SGD', 'activation_function': 'relu', 'learning_rate': 0.00011657133858477379, 'num_neurons': 86, 'l1_reg': 0.0017609097706520183, 'l2_reg': 3.716694779463945e-05}
Trial 355: Value=0.07185044417373768, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.00010829661846319517, 'num_neurons': 137, 'l1_reg': 0.0008408042850385206, 'l2_reg': 4.311868364597488e-05}
Trial 356: Value=0.1151975581200365, Params={'optimizer': 'Adam', 'activation_function': 'relu', 'learning_rate': 0.00012778360088834306, 'num_neurons': 141, 'l1_reg': 0.003380511142758231, 'l2_reg': 5.806155452184324e-05}
