Best trial value: 0.12663267817762613
Best hyperparameters: {'n_estimators': 417, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}

All trial results:
Trial 0: Value=0.18627903705360715, Params={'n_estimators': 373, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 173: Value=0.12686434057484472, Params={'n_estimators': 760, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 174: Value=0.12685361860988478, Params={'n_estimators': 764, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 175: Value=0.12684237483296498, Params={'n_estimators': 763, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 176: Value=0.12682195098266283, Params={'n_estimators': 770, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 177: Value=0.12784352280233166, Params={'n_estimators': 771, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 178: Value=0.1268843262889585, Params={'n_estimators': 754, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 179: Value=0.12992915664302296, Params={'n_estimators': 757, 'max_depth': 12, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 180: Value=0.23269784376027144, Params={'n_estimators': 785, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}
Trial 181: Value=0.12686407351761556, Params={'n_estimators': 746, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 182: Value=0.12685929300342955, Params={'n_estimators': 745, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 183: Value=0.12682987979206176, Params={'n_estimators': 734, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 184: Value=0.12685735172867282, Params={'n_estimators': 737, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 185: Value=0.12682987979206176, Params={'n_estimators': 734, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 186: Value=0.12680301023976626, Params={'n_estimators': 726, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 187: Value=0.19142788757503093, Params={'n_estimators': 724, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 188: Value=0.12697219648670163, Params={'n_estimators': 733, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 189: Value=0.12679620040773343, Params={'n_estimators': 714, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 190: Value=0.12783852104184412, Params={'n_estimators': 707, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 191: Value=0.12684474752092975, Params={'n_estimators': 776, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 192: Value=0.12693003130345723, Params={'n_estimators': 807, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 193: Value=0.12683402235250335, Params={'n_estimators': 775, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 194: Value=0.12689623596601443, Params={'n_estimators': 782, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 195: Value=0.12695245760377785, Params={'n_estimators': 721, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 196: Value=0.12684638686462968, Params={'n_estimators': 767, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 197: Value=0.13381152933754215, Params={'n_estimators': 795, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 0.8}
Trial 198: Value=0.12704275334608492, Params={'n_estimators': 712, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 199: Value=0.12771261407648676, Params={'n_estimators': 785, 'max_depth': 11, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 200: Value=0.14859865250657597, Params={'n_estimators': 772, 'max_depth': 5, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 201: Value=0.12683147341152137, Params={'n_estimators': 769, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 202: Value=0.12677852701177886, Params={'n_estimators': 724, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 203: Value=0.126796092894348, Params={'n_estimators': 721, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 204: Value=0.1267969783940965, Params={'n_estimators': 717, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 205: Value=0.12679796123396128, Params={'n_estimators': 707, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 206: Value=0.12680580424683496, Params={'n_estimators': 706, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 207: Value=0.12690152355687753, Params={'n_estimators': 709, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 208: Value=0.12681672784655962, Params={'n_estimators': 728, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 209: Value=0.1279746622727174, Params={'n_estimators': 727, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 210: Value=0.12703975405391185, Params={'n_estimators': 708, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 211: Value=0.12682626118020124, Params={'n_estimators': 736, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 212: Value=0.12685349257650363, Params={'n_estimators': 738, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 213: Value=0.126796092894348, Params={'n_estimators': 721, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 214: Value=0.12676891685779254, Params={'n_estimators': 718, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 215: Value=0.12678087468777297, Params={'n_estimators': 719, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 216: Value=0.233424355126113, Params={'n_estimators': 715, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}
Trial 217: Value=0.13355453615788832, Params={'n_estimators': 704, 'max_depth': 11, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 218: Value=0.126796092894348, Params={'n_estimators': 721, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 219: Value=0.12682986956309064, Params={'n_estimators': 698, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 220: Value=0.12706147257029643, Params={'n_estimators': 694, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 221: Value=0.1268058873152401, Params={'n_estimators': 711, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 222: Value=0.12681068709011759, Params={'n_estimators': 715, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 223: Value=0.13026037417343814, Params={'n_estimators': 719, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 224: Value=0.126800825069777, Params={'n_estimators': 716, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 225: Value=0.12862580090398293, Params={'n_estimators': 708, 'max_depth': 12, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 226: Value=0.12679130768767047, Params={'n_estimators': 712, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 227: Value=0.16971282703524515, Params={'n_estimators': 716, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_features': 0.8}
Trial 228: Value=0.19349599304556434, Params={'n_estimators': 691, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 229: Value=0.12693897913578386, Params={'n_estimators': 672, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 230: Value=0.12780961367690932, Params={'n_estimators': 719, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 231: Value=0.12684688701393512, Params={'n_estimators': 749, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 232: Value=0.12682013520970017, Params={'n_estimators': 702, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 233: Value=0.12682583033629272, Params={'n_estimators': 699, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 234: Value=0.12678799258380438, Params={'n_estimators': 720, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 235: Value=0.12677852701177886, Params={'n_estimators': 724, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 236: Value=0.12703903291727361, Params={'n_estimators': 746, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 237: Value=0.12679016693028547, Params={'n_estimators': 722, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 238: Value=0.12679016693028544, Params={'n_estimators': 722, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 239: Value=0.12678992416858947, Params={'n_estimators': 723, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 240: Value=0.12701747025869858, Params={'n_estimators': 674, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 241: Value=0.12680575351441103, Params={'n_estimators': 727, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 242: Value=0.12686129753845957, Params={'n_estimators': 743, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 243: Value=0.12677852701177886, Params={'n_estimators': 724, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 244: Value=0.12677852701177886, Params={'n_estimators': 724, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 245: Value=0.12679085832284437, Params={'n_estimators': 725, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 246: Value=0.12686407351761556, Params={'n_estimators': 746, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 247: Value=0.12682987979206176, Params={'n_estimators': 734, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 248: Value=0.12678992416858947, Params={'n_estimators': 723, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 249: Value=0.12684838846185034, Params={'n_estimators': 691, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 250: Value=0.12704896446135347, Params={'n_estimators': 751, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 251: Value=0.126796092894348, Params={'n_estimators': 721, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 252: Value=0.12689690491897634, Params={'n_estimators': 727, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 253: Value=0.12691995423741445, Params={'n_estimators': 681, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 254: Value=0.12680301023976626, Params={'n_estimators': 726, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 255: Value=0.23114411909566965, Params={'n_estimators': 748, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}
Trial 256: Value=0.12683205978307943, Params={'n_estimators': 694, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 257: Value=0.1279454736260255, Params={'n_estimators': 721, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 258: Value=0.12684688701393512, Params={'n_estimators': 749, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 259: Value=0.12691972368956253, Params={'n_estimators': 675, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 260: Value=0.19146216747824482, Params={'n_estimators': 700, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 261: Value=0.12690219348521592, Params={'n_estimators': 732, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 262: Value=0.12704052610579816, Params={'n_estimators': 710, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 263: Value=0.12893006969631746, Params={'n_estimators': 751, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 1.0}
Trial 264: Value=0.12683321265797998, Params={'n_estimators': 690, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 265: Value=0.1267969783940965, Params={'n_estimators': 717, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 266: Value=0.12694374280590762, Params={'n_estimators': 736, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 267: Value=0.12723247805138238, Params={'n_estimators': 260, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 268: Value=0.12703260069319788, Params={'n_estimators': 704, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 269: Value=0.12680575351441103, Params={'n_estimators': 727, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 270: Value=0.12782161055514585, Params={'n_estimators': 677, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 271: Value=0.1270004119287406, Params={'n_estimators': 751, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 272: Value=0.126796092894348, Params={'n_estimators': 721, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 273: Value=0.12679085832284437, Params={'n_estimators': 725, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 274: Value=0.12801062544736186, Params={'n_estimators': 735, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 275: Value=0.12688130587721166, Params={'n_estimators': 752, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 276: Value=0.12678992416858947, Params={'n_estimators': 723, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 277: Value=0.12696056636141725, Params={'n_estimators': 727, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 278: Value=0.12686491602211028, Params={'n_estimators': 687, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 279: Value=0.12686407351761556, Params={'n_estimators': 746, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 280: Value=0.23630337892492928, Params={'n_estimators': 195, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'log2'}
Trial 281: Value=0.13411767648799977, Params={'n_estimators': 760, 'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 282: Value=0.1571143472809643, Params={'n_estimators': 700, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 283: Value=0.1268813884713539, Params={'n_estimators': 724, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 284: Value=0.12682987979206176, Params={'n_estimators': 734, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 285: Value=0.12691455252736117, Params={'n_estimators': 674, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 286: Value=0.19153947898656254, Params={'n_estimators': 710, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 287: Value=0.12703743282298405, Params={'n_estimators': 695, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 288: Value=0.12685361860988478, Params={'n_estimators': 764, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 289: Value=0.12676891685779254, Params={'n_estimators': 718, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 290: Value=0.12686643457966926, Params={'n_estimators': 742, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 291: Value=0.12691189786285836, Params={'n_estimators': 720, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 292: Value=0.12768558323374055, Params={'n_estimators': 690, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 293: Value=0.1484547002908269, Params={'n_estimators': 739, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 294: Value=0.12795880609552487, Params={'n_estimators': 671, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 295: Value=0.12680848763375152, Params={'n_estimators': 704, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 296: Value=0.12677852701177886, Params={'n_estimators': 724, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 297: Value=0.12705422246950082, Params={'n_estimators': 755, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 298: Value=0.12682164209179544, Params={'n_estimators': 730, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 299: Value=0.13002723398112004, Params={'n_estimators': 788, 'max_depth': 12, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 300: Value=0.13976163863700194, Params={'n_estimators': 760, 'max_depth': 9, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.8}
Trial 301: Value=0.12691189786285836, Params={'n_estimators': 720, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 302: Value=0.12989683950209482, Params={'n_estimators': 741, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 0.8}
Trial 303: Value=0.1652868919152631, Params={'n_estimators': 692, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 0.8}
Trial 304: Value=0.12679377470963624, Params={'n_estimators': 708, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 305: Value=0.12682996754258705, Params={'n_estimators': 700, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 306: Value=0.26199254382807613, Params={'n_estimators': 664, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}
Trial 307: Value=0.12685966615569402, Params={'n_estimators': 740, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 308: Value=0.12689747077216199, Params={'n_estimators': 680, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 309: Value=0.12705814675703478, Params={'n_estimators': 709, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 310: Value=0.12800986797518063, Params={'n_estimators': 769, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 311: Value=0.17063810096803414, Params={'n_estimators': 727, 'max_depth': 4, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 312: Value=0.19326582586390254, Params={'n_estimators': 500, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
Trial 313: Value=0.12682583033629272, Params={'n_estimators': 699, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 314: Value=0.12688130587721166, Params={'n_estimators': 752, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 315: Value=0.13671730057570133, Params={'n_estimators': 719, 'max_depth': 12, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 316: Value=0.1270042821501293, Params={'n_estimators': 685, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 317: Value=0.12782756852152224, Params={'n_estimators': 740, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 318: Value=0.12764887687326668, Params={'n_estimators': 709, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 319: Value=0.12680301023976626, Params={'n_estimators': 726, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 320: Value=0.12682195098266283, Params={'n_estimators': 770, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 321: Value=0.12694440400566628, Params={'n_estimators': 671, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 322: Value=0.12699301538486282, Params={'n_estimators': 746, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 323: Value=0.12684227494802644, Params={'n_estimators': 696, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 324: Value=0.12716589640046128, Params={'n_estimators': 467, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 325: Value=0.128140672789228, Params={'n_estimators': 799, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 326: Value=0.12677852701177886, Params={'n_estimators': 724, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 327: Value=0.12797319226007972, Params={'n_estimators': 733, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 328: Value=0.12692076088285617, Params={'n_estimators': 760, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 329: Value=0.1285938229888646, Params={'n_estimators': 705, 'max_depth': 12, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 330: Value=0.12690985058056792, Params={'n_estimators': 684, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 331: Value=0.12682701995382795, Params={'n_estimators': 735, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 332: Value=0.23163590874607476, Params={'n_estimators': 714, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}
Trial 333: Value=0.1298007016033843, Params={'n_estimators': 66, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 334: Value=0.12687500251814668, Params={'n_estimators': 779, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 335: Value=0.1281174332457807, Params={'n_estimators': 751, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 336: Value=0.12699570327870505, Params={'n_estimators': 666, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 337: Value=0.1268268339304025, Params={'n_estimators': 701, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 338: Value=0.12679016693028544, Params={'n_estimators': 722, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 339: Value=0.18882642719291876, Params={'n_estimators': 544, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 340: Value=0.12675939770113023, Params={'n_estimators': 625, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 341: Value=0.12834638190161377, Params={'n_estimators': 614, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 342: Value=0.12689747077216199, Params={'n_estimators': 680, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 343: Value=0.12709939392574607, Params={'n_estimators': 611, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 344: Value=0.12679211347663397, Params={'n_estimators': 633, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 345: Value=0.1278131457676341, Params={'n_estimators': 607, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 346: Value=0.12676438532052026, Params={'n_estimators': 623, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
