Best trial value: 0.1244856200368869
Best hyperparameters: {'alpha': 0.02023933552996029, 'l1_ratio': 0.9998149684868581}

All trial results:
Trial 0: Value=0.12911003560354253, Params={'alpha': 0.05905326958008103, 'l1_ratio': 0.8859554440922547}
Trial 247: Value=0.1245367932969464, Params={'alpha': 0.021695725030275354, 'l1_ratio': 0.9995204265501663}
Trial 248: Value=0.12521036181348308, Params={'alpha': 0.028975929032716313, 'l1_ratio': 0.962524553698505}
Trial 249: Value=0.12461865471828959, Params={'alpha': 0.022995553372455017, 'l1_ratio': 0.9887366695042878}
Trial 250: Value=0.12543426865620824, Params={'alpha': 0.012929681478444614, 'l1_ratio': 0.9627234084659752}
Trial 251: Value=0.12675298358417902, Params={'alpha': 0.03893589231624392, 'l1_ratio': 0.9987756332350758}
Trial 252: Value=0.12455783975629547, Params={'alpha': 0.02228846795246024, 'l1_ratio': 0.9647321033157974}
Trial 253: Value=0.12488535429174295, Params={'alpha': 0.015254411824130879, 'l1_ratio': 0.9991718885824494}
Trial 254: Value=0.1264709196517587, Params={'alpha': 0.028700513691462107, 'l1_ratio': 0.40494460086593553}
Trial 255: Value=0.12450765154628551, Params={'alpha': 0.02020465307869565, 'l1_ratio': 0.9808828786192688}
Trial 256: Value=0.12456630727837466, Params={'alpha': 0.020393899094067486, 'l1_ratio': 0.9372211236081474}
Trial 257: Value=0.12562103522877777, Params={'alpha': 0.011975187496806107, 'l1_ratio': 0.9778883980650083}
Trial 258: Value=0.12479806052026136, Params={'alpha': 0.015828211005959478, 'l1_ratio': 0.9998067732311657}
Trial 259: Value=0.1278231998335453, Params={'alpha': 0.04797924300152816, 'l1_ratio': 0.9575645119371713}
Trial 260: Value=0.12578161700112037, Params={'alpha': 0.0328003752963615, 'l1_ratio': 0.9773490569583142}
Trial 261: Value=0.12454251188931968, Params={'alpha': 0.021983217428317825, 'l1_ratio': 0.948923246288062}
Trial 262: Value=0.12475226003478664, Params={'alpha': 0.025154708553283597, 'l1_ratio': 0.958831760312005}
Trial 263: Value=0.12585931391687602, Params={'alpha': 0.011204645956645313, 'l1_ratio': 0.9819851844224448}
Trial 264: Value=0.12499508727228499, Params={'alpha': 0.015524327450790907, 'l1_ratio': 0.946731093354597}
Trial 265: Value=0.12619055298709794, Params={'alpha': 0.03583568985883902, 'l1_ratio': 0.9666457769340647}
Trial 266: Value=0.12449176046122894, Params={'alpha': 0.020678724811065727, 'l1_ratio': 0.9996155579657747}
Trial 267: Value=0.1259668620745477, Params={'alpha': 0.026705659747971268, 'l1_ratio': 0.48629584564984035}
Trial 268: Value=0.12449425538466814, Params={'alpha': 0.02042996475877996, 'l1_ratio': 0.9889733211795436}
Trial 269: Value=1.0041624961256486, Params={'alpha': 220.61258729094376, 'l1_ratio': 0.9974748055139636}
Trial 270: Value=0.12494718416005575, Params={'alpha': 0.015146891033104166, 'l1_ratio': 0.9837871584580703}
Trial 271: Value=0.12612370269084983, Params={'alpha': 0.03474136547660637, 'l1_ratio': 0.9967792994173053}
Trial 272: Value=0.12640590435850027, Params={'alpha': 0.010013211162157464, 'l1_ratio': 0.9795230850185329}
Trial 273: Value=0.12457346852324498, Params={'alpha': 0.022587528552676726, 'l1_ratio': 0.9630261554140598}
Trial 274: Value=0.12882959719097908, Params={'alpha': 0.0534366563256038, 'l1_ratio': 0.9994883771753543}
Trial 275: Value=0.12549334663082012, Params={'alpha': 0.012469345620276531, 'l1_ratio': 0.9775509600743851}
Trial 276: Value=0.1246447249868033, Params={'alpha': 0.01771629014230666, 'l1_ratio': 0.9628853880465532}
Trial 277: Value=0.12494498921465313, Params={'alpha': 0.027515768622322908, 'l1_ratio': 0.9307063271349305}
Trial 278: Value=0.12884176902190472, Params={'alpha': 0.007204491514105757, 'l1_ratio': 0.9980631391062443}
Trial 279: Value=0.12452477497238534, Params={'alpha': 0.019711860818995675, 'l1_ratio': 0.9796850152853006}
Trial 280: Value=0.12474139743681174, Params={'alpha': 0.016215618978910266, 'l1_ratio': 0.9996393060784873}
Trial 281: Value=0.1255161196774355, Params={'alpha': 0.012452618826596956, 'l1_ratio': 0.972513308500051}
Trial 282: Value=0.12547376286081138, Params={'alpha': 0.030530335831343805, 'l1_ratio': 0.9814048399537414}
Trial 283: Value=0.12455316232030877, Params={'alpha': 0.01965002844743322, 'l1_ratio': 0.9529148296714136}
Trial 284: Value=0.12737751001579387, Params={'alpha': 0.043638766121935464, 'l1_ratio': 0.9999924137063074}
Trial 285: Value=0.1267493443774694, Params={'alpha': 0.009559899486858607, 'l1_ratio': 0.9657425772462171}
Trial 286: Value=0.12480020403605334, Params={'alpha': 0.025367129346266223, 'l1_ratio': 0.9820079687737515}
Trial 287: Value=0.12497007282422191, Params={'alpha': 0.015562686236197575, 'l1_ratio': 0.9537738703107749}
Trial 288: Value=0.12450179306770938, Params={'alpha': 0.020714378573120695, 'l1_ratio': 0.9807506365134415}
Trial 289: Value=0.1261008148248014, Params={'alpha': 0.035182185222129354, 'l1_ratio': 0.9689231655129082}
Trial 290: Value=0.12470226583104456, Params={'alpha': 0.024686204550051084, 'l1_ratio': 0.9403921224133633}
Trial 291: Value=0.12450222170225601, Params={'alpha': 0.02071453590342332, 'l1_ratio': 0.9802528607627002}
Trial 292: Value=0.1253745912331058, Params={'alpha': 0.012941697223577997, 'l1_ratio': 0.9814539414650272}
Trial 293: Value=0.12548737403141222, Params={'alpha': 0.03066410174551834, 'l1_ratio': 0.9799403337388183}
Trial 294: Value=0.1246033414167973, Params={'alpha': 0.017272269144112555, 'l1_ratio': 0.9997452766818204}
Trial 295: Value=0.1245198173424706, Params={'alpha': 0.020661086952893985, 'l1_ratio': 0.9643992199830013}
Trial 296: Value=0.12570243648666576, Params={'alpha': 0.03940832749482109, 'l1_ratio': 0.6620977671982633}
Trial 297: Value=0.12463488436942412, Params={'alpha': 0.023524811086389853, 'l1_ratio': 0.9609645615113236}
Trial 298: Value=0.12524091375107102, Params={'alpha': 0.013599279284008734, 'l1_ratio': 0.9784995762098957}
Trial 299: Value=0.19361038387944454, Params={'alpha': 0.001220284363554622, 'l1_ratio': 0.07849094893625785}
Trial 300: Value=0.12518426162740567, Params={'alpha': 0.028400171141636853, 'l1_ratio': 0.9831827928695444}
Trial 301: Value=0.15107116420088296, Params={'alpha': 0.0019894544913300143, 'l1_ratio': 0.9207350855662948}
Trial 302: Value=0.12487221835401846, Params={'alpha': 0.016218124261096627, 'l1_ratio': 0.9539837774325971}
Trial 303: Value=0.1259386913675457, Params={'alpha': 0.010800133467374925, 'l1_ratio': 0.9990290831697126}
Trial 304: Value=0.12452173671453932, Params={'alpha': 0.02073529247019852, 'l1_ratio': 0.9617340965408865}
Trial 305: Value=0.12452915620128417, Params={'alpha': 0.02103141605516914, 'l1_ratio': 0.9521000299457613}
Trial 306: Value=1.0041624961256486, Params={'alpha': 15.986712973550965, 'l1_ratio': 0.9327289815843175}
Trial 307: Value=0.12821396558127465, Params={'alpha': 0.050841081427046, 'l1_ratio': 0.9514513786830249}
Trial 308: Value=0.12529988649584364, Params={'alpha': 0.033062971875271935, 'l1_ratio': 0.5740773048682049}
Trial 309: Value=0.1278482586802068, Params={'alpha': 0.008328100780671767, 'l1_ratio': 0.9616311210519538}
Trial 310: Value=0.1252556573838153, Params={'alpha': 0.014667283658682365, 'l1_ratio': 0.9101582341563098}
Trial 311: Value=0.12479011476231779, Params={'alpha': 0.025873244956392094, 'l1_ratio': 0.9376802364954305}
Trial 312: Value=0.12453195763211754, Params={'alpha': 0.019161185861133287, 'l1_ratio': 0.9784523860349691}
Trial 313: Value=0.1254116907348164, Params={'alpha': 0.012775897440369444, 'l1_ratio': 0.9808127109243329}
Trial 314: Value=0.12451387110060297, Params={'alpha': 0.020006827890988465, 'l1_ratio': 0.9807240835562717}
Trial 315: Value=0.12714260915251802, Params={'alpha': 0.04226685355514941, 'l1_ratio': 0.982159522312751}
Trial 316: Value=0.12466867915348527, Params={'alpha': 0.01703793010755921, 'l1_ratio': 0.981475454994576}
Trial 317: Value=0.1317082357584499, Params={'alpha': 0.005878157393212206, 'l1_ratio': 0.9597021791008852}
Trial 318: Value=0.12486895320991724, Params={'alpha': 0.025974597472145807, 'l1_ratio': 0.9830568114023439}
Trial 319: Value=0.1268290247439578, Params={'alpha': 0.009431858984500809, 'l1_ratio': 0.9668353671188602}
Trial 320: Value=0.12460971324184256, Params={'alpha': 0.018592132820268947, 'l1_ratio': 0.947104762263828}
Trial 321: Value=0.12513280290750992, Params={'alpha': 0.02775737114405381, 'l1_ratio': 0.9984440340438726}
Trial 322: Value=0.12560744654918632, Params={'alpha': 0.012802497015758935, 'l1_ratio': 0.9222995012297799}
Trial 323: Value=0.12450575364854638, Params={'alpha': 0.02028976160559007, 'l1_ratio': 0.9810170399349449}
Trial 324: Value=0.12602547848202364, Params={'alpha': 0.034783094670406065, 'l1_ratio': 0.9634489740334908}
Trial 325: Value=0.1979480218984591, Params={'alpha': 0.2489673282512862, 'l1_ratio': 0.984780798509276}
Trial 326: Value=0.12485530996828464, Params={'alpha': 0.015446263147715848, 'l1_ratio': 0.9993680063982158}
Trial 327: Value=0.12459474916143294, Params={'alpha': 0.02252950162568678, 'l1_ratio': 0.9999216264350326}
Trial 328: Value=0.1252356113229773, Params={'alpha': 0.02938047111674206, 'l1_ratio': 0.9515881648182465}
Trial 329: Value=0.17667057050843846, Params={'alpha': 0.012466769883852652, 'l1_ratio': 0.002081601622560769}
Trial 330: Value=0.12451852624620798, Params={'alpha': 0.02126453056799817, 'l1_ratio': 0.9654771033058338}
Trial 331: Value=0.12678863674674182, Params={'alpha': 0.039648557625912746, 'l1_ratio': 0.9795184715092753}
Trial 332: Value=0.12494867971306402, Params={'alpha': 0.016096088463975228, 'l1_ratio': 0.9345424742661776}
Trial 333: Value=0.12469400498608252, Params={'alpha': 0.02429381417493129, 'l1_ratio': 0.9672077460114108}
Trial 334: Value=0.13014051809659188, Params={'alpha': 0.062041705992685096, 'l1_ratio': 0.9801246400280932}
Trial 335: Value=0.12555989841919346, Params={'alpha': 0.030885885541483672, 'l1_ratio': 0.9997810105748236}
Trial 336: Value=0.1260686152589058, Params={'alpha': 0.01110125390425774, 'l1_ratio': 0.9459749030055099}
Trial 337: Value=1.0041624961256486, Params={'alpha': 1.2942057327763805, 'l1_ratio': 0.9638289721630747}
Trial 338: Value=0.12457472589412073, Params={'alpha': 0.02014727049662213, 'l1_ratio': 0.9277351566116087}
Trial 339: Value=0.12490985615821376, Params={'alpha': 0.015084200218194335, 'l1_ratio': 0.9999906362725018}
Trial 340: Value=0.12771642775444206, Params={'alpha': 0.008292426122821741, 'l1_ratio': 0.9801305316613115}
Trial 341: Value=0.12467295439025827, Params={'alpha': 0.0241159040500172, 'l1_ratio': 0.9549345588738836}
Trial 342: Value=0.1274869327732788, Params={'alpha': 0.0449424152419961, 'l1_ratio': 0.9805617256408646}
Trial 343: Value=0.12550074790867524, Params={'alpha': 0.03149033551838365, 'l1_ratio': 0.9428291557796784}
Trial 344: Value=0.1245847087133538, Params={'alpha': 0.018407783186861402, 'l1_ratio': 0.9654649058238379}
Trial 345: Value=0.12512425124257023, Params={'alpha': 0.014191672988957524, 'l1_ratio': 0.9812050547754536}
Trial 346: Value=0.12465221038966974, Params={'alpha': 0.023548886334557383, 'l1_ratio': 0.9830096198272644}
Trial 347: Value=0.1260050141579119, Params={'alpha': 0.0357360572734755, 'l1_ratio': 0.915187441470841}
Trial 348: Value=0.12645548603401627, Params={'alpha': 0.01017729230099006, 'l1_ratio': 0.9544318112157613}
Trial 349: Value=0.14051555014877945, Params={'alpha': 0.018108097186697765, 'l1_ratio': 0.1550538022783522}
Trial 350: Value=0.12489512371176302, Params={'alpha': 0.026392139730345335, 'l1_ratio': 0.9710228460130205}
Trial 351: Value=0.13257471963015285, Params={'alpha': 0.014424593186678315, 'l1_ratio': 0.3576399823592643}
Trial 352: Value=0.12466493315750733, Params={'alpha': 0.023556291305004667, 'l1_ratio': 0.9993237390906804}
Trial 353: Value=0.12466356381914602, Params={'alpha': 0.018201473204134823, 'l1_ratio': 0.9366039143917445}
Trial 354: Value=0.12565815198583774, Params={'alpha': 0.011983275207054611, 'l1_ratio': 0.9664128749461466}
Trial 355: Value=1.0041624961256486, Params={'alpha': 29.64472357522627, 'l1_ratio': 0.9857417066506228}
Trial 356: Value=0.12564120651346197, Params={'alpha': 0.03246785034522134, 'l1_ratio': 0.9501451822140488}
Trial 357: Value=0.12848286956748703, Params={'alpha': 0.05222064576941624, 'l1_ratio': 0.9661080340457163}
Trial 358: Value=0.12450518898500001, Params={'alpha': 0.021030451833545984, 'l1_ratio': 0.9848123577157827}
Trial 359: Value=0.12484556257066552, Params={'alpha': 0.015786376822351567, 'l1_ratio': 0.9844434815181091}
Trial 360: Value=0.12499674310740432, Params={'alpha': 0.02673966710926228, 'l1_ratio': 0.9989524173101401}
Trial 361: Value=0.12654700100914673, Params={'alpha': 0.037828224403773134, 'l1_ratio': 0.982882825900306}
Trial 362: Value=0.12451607958537005, Params={'alpha': 0.01912499113900365, 'l1_ratio': 0.9989881410652163}
Trial 363: Value=0.12564708457339335, Params={'alpha': 0.011644765826331008, 'l1_ratio': 0.9963793008789669}
Trial 364: Value=0.1285706867823577, Params={'alpha': 0.007523897153843193, 'l1_ratio': 0.982320682871684}
Trial 365: Value=1.0041624961256486, Params={'alpha': 7.303281641271874, 'l1_ratio': 0.9667521732018555}
Trial 366: Value=0.1247055352880546, Params={'alpha': 0.01642259090547151, 'l1_ratio': 0.9998309815740489}
Trial 367: Value=0.12453696528612386, Params={'alpha': 0.021816727877896267, 'l1_ratio': 0.9667879144268198}
Trial 368: Value=0.13713687503880054, Params={'alpha': 0.029233673040364106, 'l1_ratio': 0.12310814020169691}
Trial 369: Value=0.12490439812890135, Params={'alpha': 0.015137480874051376, 'l1_ratio': 0.9989322291843067}
Trial 370: Value=0.12454805142261482, Params={'alpha': 0.021989777536485535, 'l1_ratio': 0.9354598995566096}
Trial 371: Value=0.1270268770256319, Params={'alpha': 0.00903715083790309, 'l1_ratio': 0.9807887126324115}
Trial 372: Value=0.14795235937544746, Params={'alpha': 0.0033174904345919867, 'l1_ratio': 0.6348958689885567}
Trial 373: Value=1.0041624961256486, Params={'alpha': 4.82572874787073, 'l1_ratio': 0.5031024753540634}
Trial 374: Value=0.12682895281809506, Params={'alpha': 0.04050122868853402, 'l1_ratio': 0.9570940626973973}
Trial 375: Value=0.12521917822100823, Params={'alpha': 0.013394688810022494, 'l1_ratio': 0.9991897028125181}
Trial 376: Value=0.12959006527576614, Params={'alpha': 0.02758384217021171, 'l1_ratio': 0.251849720501531}
Trial 377: Value=0.12455980996409059, Params={'alpha': 0.01856374291882166, 'l1_ratio': 0.9720797738669675}
Trial 378: Value=0.12453693478133832, Params={'alpha': 0.021323373880433334, 'l1_ratio': 0.9431440327919554}
Trial 379: Value=0.126248451120664, Params={'alpha': 0.01031196152226662, 'l1_ratio': 0.981655810527817}
Trial 380: Value=0.12530993276254035, Params={'alpha': 0.030623457958141198, 'l1_ratio': 0.9179996862256}
Trial 381: Value=0.12493435863346673, Params={'alpha': 0.015642974929595054, 'l1_ratio': 0.9617258353044316}
Trial 382: Value=0.12464446746837782, Params={'alpha': 0.02342782200869654, 'l1_ratio': 0.9827286506045149}
Trial 383: Value=0.12553715511377772, Params={'alpha': 0.0120251981719639, 'l1_ratio': 0.9993973151289373}
Trial 384: Value=0.12466860108357462, Params={'alpha': 0.017848098836596847, 'l1_ratio': 0.9475976969370952}
Trial 385: Value=0.12633454220628346, Params={'alpha': 0.03677163037936341, 'l1_ratio': 0.9674620019907428}
Trial 386: Value=0.1281139100810019, Params={'alpha': 0.04931174410128785, 'l1_ratio': 0.9815946264477577}
Trial 387: Value=0.12460098633695894, Params={'alpha': 0.023252871273670723, 'l1_ratio': 0.9340532363299682}
Trial 388: Value=1.0041624961256486, Params={'alpha': 111.9167971265977, 'l1_ratio': 0.9576001969463677}
Trial 389: Value=0.12534159286487526, Params={'alpha': 0.029225249198362193, 'l1_ratio': 0.9995085547223406}
Trial 390: Value=0.12502216213726539, Params={'alpha': 0.014742263095844144, 'l1_ratio': 0.9811411619930805}
Trial 391: Value=0.12451901207841876, Params={'alpha': 0.02037750467673122, 'l1_ratio': 0.9698845887656456}
Trial 392: Value=0.1249976976403943, Params={'alpha': 0.027582692704380074, 'l1_ratio': 0.9503647913800176}
Trial 393: Value=0.13103128997903257, Params={'alpha': 0.06964720996900843, 'l1_ratio': 0.9151355075231917}
Trial 394: Value=0.12547712877959347, Params={'alpha': 0.01223451483580118, 'l1_ratio': 0.9999143273487544}
Trial 395: Value=0.12457364288856464, Params={'alpha': 0.018497631685643022, 'l1_ratio': 0.9676329048185732}
Trial 396: Value=0.12613946324596734, Params={'alpha': 0.036188754037664084, 'l1_ratio': 0.938166610423725}
Trial 397: Value=0.12457328809177275, Params={'alpha': 0.022589688614794087, 'l1_ratio': 0.962136246829966}
Trial 398: Value=0.12490736618597008, Params={'alpha': 0.015456399025323845, 'l1_ratio': 0.9804145496169052}
Trial 399: Value=0.1326728645214298, Params={'alpha': 0.005466608610700688, 'l1_ratio': 0.9666465351587812}
Trial 400: Value=0.12690491040183793, Params={'alpha': 0.009025626267430172, 'l1_ratio': 0.9992834806974348}
Trial 401: Value=0.1250958772430039, Params={'alpha': 0.028784781438614872, 'l1_ratio': 0.9282816461001809}
Trial 402: Value=0.12453329720305252, Params={'alpha': 0.018176249950394782, 'l1_ratio': 0.9997782805220277}
Trial 403: Value=0.1258366614607125, Params={'alpha': 0.011631189954696164, 'l1_ratio': 0.951867358282526}
Trial 404: Value=0.12459361816894347, Params={'alpha': 0.022756359308808836, 'l1_ratio': 0.9791606814873389}
Trial 405: Value=0.1279967844162407, Params={'alpha': 0.048640599569851506, 'l1_ratio': 0.977614286944664}
Trial 406: Value=0.12499734069167956, Params={'alpha': 0.015421032507747937, 'l1_ratio': 0.9514259142095445}
Trial 407: Value=0.12618320289173277, Params={'alpha': 0.035442678974558633, 'l1_ratio': 0.9827137926666352}
Trial 408: Value=0.12449164996433777, Params={'alpha': 0.020675334047807557, 'l1_ratio': 0.9998685676400694}
Trial 409: Value=0.1672109261622058, Params={'alpha': 0.013168938991137625, 'l1_ratio': 0.026921358323050537}
Trial 410: Value=0.12483395749301958, Params={'alpha': 0.026853381659583897, 'l1_ratio': 0.9032863337299152}
Trial 411: Value=0.12933480482879178, Params={'alpha': 0.007067832927483003, 'l1_ratio': 0.9677826681257736}
Trial 412: Value=0.12466450469674313, Params={'alpha': 0.01825219291073419, 'l1_ratio': 0.9343947330316805}
Trial 413: Value=0.12621323883373808, Params={'alpha': 0.010628985703885936, 'l1_ratio': 0.9595418934863228}
Trial 414: Value=0.1278989350786408, Params={'alpha': 0.021260410041570234, 'l1_ratio': 0.3857159072783304}
Trial 415: Value=0.1255371298117792, Params={'alpha': 0.031059972884556326, 'l1_ratio': 0.9800581585860634}
Trial 416: Value=0.12489461646772547, Params={'alpha': 0.015183258901003124, 'l1_ratio': 0.9997557158570287}
Trial 417: Value=0.3890970515009963, Params={'alpha': 0.503881659590465, 'l1_ratio': 0.9500574146444427}
Trial 418: Value=0.12698183867392446, Params={'alpha': 0.04108611962628655, 'l1_ratio': 0.9821159405017065}
Trial 419: Value=0.12478871019672218, Params={'alpha': 0.025419755252862563, 'l1_ratio': 0.9681654802183378}
Trial 420: Value=0.1246558881477459, Params={'alpha': 0.01854814045171111, 'l1_ratio': 0.927162954837014}
Trial 421: Value=0.12535986658437717, Params={'alpha': 0.012747302711692984, 'l1_ratio': 0.9999994434099352}
Trial 422: Value=0.12470863164077868, Params={'alpha': 0.024701667946273334, 'l1_ratio': 0.948369396368735}
Trial 423: Value=0.12473029383176777, Params={'alpha': 0.016620630533888438, 'l1_ratio': 0.9824829456585688}
Trial 424: Value=0.12572272596207215, Params={'alpha': 0.032541387850764616, 'l1_ratio': 0.9712263364348123}
Trial 425: Value=0.12449696149434857, Params={'alpha': 0.019689075625529434, 'l1_ratio': 0.999784808090131}
Trial 426: Value=0.12673075814657253, Params={'alpha': 0.009273505483395075, 'l1_ratio': 0.9988455243583235}
Trial 427: Value=0.12453815704941612, Params={'alpha': 0.01810700913980121, 'l1_ratio': 0.9997143038827223}
Trial 428: Value=0.12531739700565162, Params={'alpha': 0.01321446077664167, 'l1_ratio': 0.9810461197512116}
Trial 429: Value=0.12504927723237913, Params={'alpha': 0.027438991205477874, 'l1_ratio': 0.9809373841900972}
Trial 430: Value=0.12452577338607414, Params={'alpha': 0.02154457783346214, 'l1_ratio': 0.9634375992718954}
Trial 431: Value=0.12515351801997332, Params={'alpha': 0.01400784028402892, 'l1_ratio': 0.9828234250154376}
Trial 432: Value=0.12608246065609016, Params={'alpha': 0.03557368578399828, 'l1_ratio': 0.9466912397526595}
Trial 433: Value=0.12749025240050949, Params={'alpha': 0.04533972797203822, 'l1_ratio': 0.9656598373257982}
Trial 434: Value=0.12452112419602894, Params={'alpha': 0.018517260883997685, 'l1_ratio': 0.9995788079576662}
Trial 435: Value=0.1260135001167324, Params={'alpha': 0.010791943074475901, 'l1_ratio': 0.9835883604776374}
Trial 436: Value=0.12474853735653091, Params={'alpha': 0.02530397165703478, 'l1_ratio': 0.9425453858187124}
Trial 437: Value=0.6442391328490357, Params={'alpha': 0.7059559579337827, 'l1_ratio': 0.9658223352200072}
Trial 438: Value=0.12474027754816831, Params={'alpha': 0.016217483582041312, 'l1_ratio': 0.9999344686810682}
Trial 439: Value=0.12551338940590245, Params={'alpha': 0.030856041535963358, 'l1_ratio': 0.9810593053649954}
Trial 440: Value=0.12455632180160647, Params={'alpha': 0.021883964412565442, 'l1_ratio': 0.9233726690220937}
Trial 441: Value=0.12946457648943588, Params={'alpha': 0.0572372026897208, 'l1_ratio': 0.9999408209926725}
Trial 442: Value=0.12884355076703122, Params={'alpha': 0.007457042156152825, 'l1_ratio': 0.9630107853335091}
Trial 443: Value=0.26589526508890465, Params={'alpha': 0.3545806639392825, 'l1_ratio': 0.9811067031806617}
Trial 444: Value=0.12521608951123012, Params={'alpha': 0.014246057924159424, 'l1_ratio': 0.9472591832901819}
Trial 445: Value=0.1247928755616246, Params={'alpha': 0.025494883428168243, 'l1_ratio': 0.966007534955738}
Trial 446: Value=0.12599476679555746, Params={'alpha': 0.010661043410072218, 'l1_ratio': 0.9995350367236269}
Trial 447: Value=0.12453081506791852, Params={'alpha': 0.019342876956888078, 'l1_ratio': 0.9796015140377957}
Trial 448: Value=0.12582798034008771, Params={'alpha': 0.033635376035690605, 'l1_ratio': 0.9535514468207625}
Trial 449: Value=0.1250957508763041, Params={'alpha': 0.015172130494651243, 'l1_ratio': 0.9344026568155486}
Trial 450: Value=0.12709183737127983, Params={'alpha': 0.0419202127992609, 'l1_ratio': 0.9812571858750767}
Trial 451: Value=0.12459372133549591, Params={'alpha': 0.021231274817769347, 'l1_ratio': 0.9058379638236814}
Trial 452: Value=0.14808434455719466, Params={'alpha': 0.13549074483779178, 'l1_ratio': 0.9662021761628273}
Trial 453: Value=0.12518730785873436, Params={'alpha': 0.028427289094037085, 'l1_ratio': 0.9829692229020133}
Trial 454: Value=0.12472182665664662, Params={'alpha': 0.01726960232161415, 'l1_ratio': 0.954236945435305}
Trial 455: Value=0.12468432277376684, Params={'alpha': 0.023811702282343618, 'l1_ratio': 0.9988763130630988}
Trial 456: Value=0.12550235947705982, Params={'alpha': 0.01260806936564805, 'l1_ratio': 0.9650140395110101}
Trial 457: Value=0.12667411326669634, Params={'alpha': 0.009512558775703964, 'l1_ratio': 0.98250546230082}
Trial 458: Value=1.0041624961256486, Params={'alpha': 1.5671399720815535, 'l1_ratio': 0.9291368353781028}
Trial 459: Value=0.12553265360344326, Params={'alpha': 0.018232455417437753, 'l1_ratio': 0.6982717766968679}
Trial 460: Value=0.12492650828071318, Params={'alpha': 0.026181593190263315, 'l1_ratio': 0.9989612155284019}
Trial 461: Value=0.12608366607123936, Params={'alpha': 0.03568419286283553, 'l1_ratio': 0.9423595147162873}
Trial 462: Value=0.14205524277079848, Params={'alpha': 0.014261537256156543, 'l1_ratio': 0.18136863068920117}
Trial 463: Value=0.12451474269548535, Params={'alpha': 0.020730724025459345, 'l1_ratio': 0.9673050460629934}
Trial 464: Value=0.12460067877527557, Params={'alpha': 0.01774470862073603, 'l1_ratio': 0.9818892109432796}
Trial 465: Value=0.12953774828071382, Params={'alpha': 0.011252845746184794, 'l1_ratio': 0.5880386044137192}
Trial 466: Value=0.1341400174225937, Params={'alpha': 0.08108627842506813, 'l1_ratio': 0.9995914459553602}
Trial 467: Value=0.12517440450548648, Params={'alpha': 0.028620445798929767, 'l1_ratio': 0.9666286399713392}
Trial 468: Value=0.12453673153165461, Params={'alpha': 0.021788975863670644, 'l1_ratio': 0.9498490362934104}
Trial 469: Value=0.12730916109470436, Params={'alpha': 0.043552400558078325, 'l1_ratio': 0.9821051328248191}
Trial 470: Value=0.12533455480433872, Params={'alpha': 0.013346197261272843, 'l1_ratio': 0.9672878956181986}
Trial 471: Value=0.12466548094356751, Params={'alpha': 0.01698473064712631, 'l1_ratio': 0.9850432930245395}
Trial 472: Value=0.1251728323992928, Params={'alpha': 0.02895470189505673, 'l1_ratio': 0.9486974227385815}
Trial 473: Value=0.12604611552444134, Params={'alpha': 0.020739392284963337, 'l1_ratio': 0.5467239103421597}
Trial 474: Value=0.12677286570764448, Params={'alpha': 0.00920491829797817, 'l1_ratio': 0.9996558320155979}
Trial 475: Value=0.12591867940232734, Params={'alpha': 0.03490782541713934, 'l1_ratio': 0.9252318032093872}
Trial 476: Value=0.1251394319571821, Params={'alpha': 0.014311253952384768, 'l1_ratio': 0.9692497306868574}
Trial 477: Value=0.12463216185935301, Params={'alpha': 0.023245947378363163, 'l1_ratio': 0.9819346486631837}
Trial 478: Value=0.12946400518514858, Params={'alpha': 0.058647026061913694, 'l1_ratio': 0.9582715746883638}
Trial 479: Value=0.12474711376770915, Params={'alpha': 0.01652708292636993, 'l1_ratio': 0.9821272869806019}
Trial 480: Value=0.12478635329462535, Params={'alpha': 0.025759916684946954, 'l1_ratio': 0.9428414329309872}
Trial 481: Value=0.129409958035671, Params={'alpha': 0.006921604389589241, 'l1_ratio': 0.98176557055041}
Trial 482: Value=0.12595504931526275, Params={'alpha': 0.033554009861433816, 'l1_ratio': 0.9990081725705702}
Trial 483: Value=0.1259581816212636, Params={'alpha': 0.01117851741027388, 'l1_ratio': 0.96154799364922}
Trial 484: Value=0.13470409218169926, Params={'alpha': 0.004590566147058124, 'l1_ratio': 0.9995218102168848}
Trial 485: Value=0.12459461524196504, Params={'alpha': 0.02011299561359469, 'l1_ratio': 0.9112824199597372}
Trial 486: Value=1.0041624961256486, Params={'alpha': 3.284723633783105, 'l1_ratio': 0.9671853618425383}
Trial 487: Value=0.12498067630133175, Params={'alpha': 0.015765526812818696, 'l1_ratio': 0.9397197742922035}
Trial 488: Value=0.12651080343783505, Params={'alpha': 0.024998619802987423, 'l1_ratio': 0.4319118747167827}
Trial 489: Value=0.12676959378027372, Params={'alpha': 0.03950786960986869, 'l1_ratio': 0.9795957648530945}
Trial 490: Value=0.12552615575666662, Params={'alpha': 0.012498435793083358, 'l1_ratio': 0.9663737381322399}
Trial 491: Value=0.12450077571070317, Params={'alpha': 0.020778500225266325, 'l1_ratio': 0.9830822003877078}
Trial 492: Value=0.12543306212353633, Params={'alpha': 0.029890431236359174, 'l1_ratio': 0.9997170085771007}
Trial 493: Value=0.1538042886257742, Params={'alpha': 0.0016655507356536667, 'l1_ratio': 0.9793623901051904}
Trial 494: Value=0.12487278775886172, Params={'alpha': 0.01639522517380104, 'l1_ratio': 0.9452810965250806}
