Best trial value: 0.18419841340299378
Best hyperparameters: {'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}

All trial results:
Trial 0: Value=0.4989656578997013, Params={'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 10, 'max_features': 'sqrt'}
Trial 201: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 202: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 203: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 204: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 205: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 206: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 207: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 208: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 209: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 210: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 211: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 212: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 213: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 214: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 215: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 216: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 217: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 218: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 219: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 220: Value=0.1917792395308672, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 221: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 222: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 223: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 224: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 225: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 226: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 227: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 228: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 229: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 230: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 231: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 232: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 233: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 234: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 235: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 236: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 237: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 238: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 239: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 240: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 241: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 242: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 243: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 244: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 245: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 246: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 247: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 248: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 249: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 250: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 251: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 252: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 253: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 254: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 255: Value=0.19330066931636514, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 256: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 257: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 258: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 259: Value=0.21717627645084095, Params={'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 260: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 261: Value=0.19162531270923652, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 262: Value=0.20577153725358818, Params={'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 263: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 264: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 265: Value=0.2107638832414236, Params={'max_depth': 9, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 266: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 267: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 268: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 269: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 270: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 271: Value=0.19004214316651846, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 1.0}
Trial 272: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 273: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 274: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 275: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 276: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 277: Value=0.21717627645084095, Params={'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 278: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 279: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 280: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 281: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 282: Value=0.20553196455478565, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 1.0}
Trial 283: Value=0.19162531270923652, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 284: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 285: Value=0.18875406596344615, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 286: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 287: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 288: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 289: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 290: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 291: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 292: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 293: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 294: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 295: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 296: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 297: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 298: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 299: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 300: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 301: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 302: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 303: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 304: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 305: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 306: Value=0.21717627645084095, Params={'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 307: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 308: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 309: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 310: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 311: Value=0.1917792395308672, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 312: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 313: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 314: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 315: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 316: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 317: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 318: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 319: Value=0.20558730005771944, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 1.0}
Trial 320: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 321: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 322: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 323: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 324: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 325: Value=0.45404006728372875, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt'}
Trial 326: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 327: Value=0.19706142355309106, Params={'max_depth': 8, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 328: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 329: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 330: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 331: Value=0.1876507923881575, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 332: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 333: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 334: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 335: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 336: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 337: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 338: Value=0.1917792395308672, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 339: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 340: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 341: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 342: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 343: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 344: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 345: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 346: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 347: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 348: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 349: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 350: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 351: Value=0.47227758095985095, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 352: Value=0.25541140227689846, Params={'max_depth': 3, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 353: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 354: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 355: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 356: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 357: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 358: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 359: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 360: Value=0.19268208818039056, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 361: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 362: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 363: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 364: Value=0.2015257376248537, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 0.5}
Trial 365: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 366: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 367: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 368: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 369: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 370: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 371: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 372: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 373: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 374: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 375: Value=0.21056701532228703, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 376: Value=0.20187404942303455, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 377: Value=0.45625264781444597, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 378: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 379: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 380: Value=0.21717627645084095, Params={'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 381: Value=0.5305482954865207, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 382: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 383: Value=0.2029393627605818, Params={'max_depth': 9, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 384: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 385: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 386: Value=0.19330066931636514, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.8}
Trial 387: Value=0.2169944846545608, Params={'max_depth': 11, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 388: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 389: Value=0.20577153725358818, Params={'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 390: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 391: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 392: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 393: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 394: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 395: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 396: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 397: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 398: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 399: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 400: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 401: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 402: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 403: Value=0.4713248344970647, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
