Best trial value: 0.1119150228767402
Best hyperparameters: {'n_estimators': 841, 'max_depth': 9, 'learning_rate': 0.008688414198817005, 'subsample': 0.6242718911640639, 'colsample_bytree': 0.8242586562889879, 'min_child_weight': 1}

All trial results:
Trial 0: Value=0.9844089270935132, Params={'n_estimators': 657, 'max_depth': 6, 'learning_rate': 1.655920386219628e-05, 'subsample': 0.7310636042808303, 'colsample_bytree': 0.6038428788527885, 'min_child_weight': 5}
Trial 217: Value=0.11307949844959024, Params={'n_estimators': 476, 'max_depth': 5, 'learning_rate': 0.008979946417996367, 'subsample': 0.6873775715715432, 'colsample_bytree': 0.8882119139070074, 'min_child_weight': 3}
Trial 218: Value=0.11442314260159475, Params={'n_estimators': 486, 'max_depth': 5, 'learning_rate': 0.008980700974754069, 'subsample': 0.6537337704793429, 'colsample_bytree': 0.8936277972145803, 'min_child_weight': 3}
Trial 219: Value=0.11350818509549705, Params={'n_estimators': 451, 'max_depth': 5, 'learning_rate': 0.00996922331376491, 'subsample': 0.6656612134776844, 'colsample_bytree': 0.9092175718365189, 'min_child_weight': 3}
Trial 220: Value=0.11347944106491735, Params={'n_estimators': 543, 'max_depth': 5, 'learning_rate': 0.008063219660672912, 'subsample': 0.6807256627454115, 'colsample_bytree': 0.8968031226779085, 'min_child_weight': 3}
Trial 221: Value=0.11373348988172272, Params={'n_estimators': 509, 'max_depth': 5, 'learning_rate': 0.007963152805774724, 'subsample': 0.6817620065944264, 'colsample_bytree': 0.8968421738053678, 'min_child_weight': 3}
Trial 222: Value=0.11367455920087428, Params={'n_estimators': 539, 'max_depth': 5, 'learning_rate': 0.008912421291282151, 'subsample': 0.6981557164948898, 'colsample_bytree': 0.8791301087377578, 'min_child_weight': 3}
Trial 223: Value=0.11371892736427047, Params={'n_estimators': 556, 'max_depth': 5, 'learning_rate': 0.007751990684548817, 'subsample': 0.6759249845152887, 'colsample_bytree': 0.9049953767243077, 'min_child_weight': 3}
Trial 224: Value=0.11291605630092237, Params={'n_estimators': 504, 'max_depth': 5, 'learning_rate': 0.008960162618996311, 'subsample': 0.6888180236102754, 'colsample_bytree': 0.8883774099719858, 'min_child_weight': 3}
Trial 225: Value=0.11327818717373594, Params={'n_estimators': 482, 'max_depth': 5, 'learning_rate': 0.008915194860007948, 'subsample': 0.6901335609908932, 'colsample_bytree': 0.8876571179060564, 'min_child_weight': 3}
Trial 226: Value=0.11341409160305337, Params={'n_estimators': 508, 'max_depth': 5, 'learning_rate': 0.009857616337103185, 'subsample': 0.6894654164737163, 'colsample_bytree': 0.8890170382858624, 'min_child_weight': 3}
Trial 227: Value=0.11344479991671473, Params={'n_estimators': 452, 'max_depth': 5, 'learning_rate': 0.009900445604383912, 'subsample': 0.6892641199708808, 'colsample_bytree': 0.8870841408458507, 'min_child_weight': 3}
Trial 228: Value=0.1142235757649529, Params={'n_estimators': 430, 'max_depth': 4, 'learning_rate': 0.009977734076856063, 'subsample': 0.6903504125962504, 'colsample_bytree': 0.8872684408830758, 'min_child_weight': 3}
Trial 229: Value=0.11327602267100423, Params={'n_estimators': 466, 'max_depth': 5, 'learning_rate': 0.009129774822933152, 'subsample': 0.6686731144537008, 'colsample_bytree': 0.9128411289628386, 'min_child_weight': 3}
Trial 230: Value=0.11349642158712357, Params={'n_estimators': 463, 'max_depth': 5, 'learning_rate': 0.009999330615262923, 'subsample': 0.6672403210427041, 'colsample_bytree': 0.9154882897304634, 'min_child_weight': 3}
Trial 231: Value=0.11375875003158475, Params={'n_estimators': 481, 'max_depth': 5, 'learning_rate': 0.009181872210853287, 'subsample': 0.6727599498256184, 'colsample_bytree': 0.8965197520424344, 'min_child_weight': 3}
Trial 232: Value=0.11480975436768591, Params={'n_estimators': 433, 'max_depth': 5, 'learning_rate': 0.008861261727226828, 'subsample': 0.6579283613091415, 'colsample_bytree': 0.9051653510430936, 'min_child_weight': 3}
Trial 233: Value=0.11453188317768163, Params={'n_estimators': 501, 'max_depth': 5, 'learning_rate': 0.007435352393032224, 'subsample': 0.6863364125498719, 'colsample_bytree': 0.885459420650316, 'min_child_weight': 3}
Trial 234: Value=0.1134551499231272, Params={'n_estimators': 456, 'max_depth': 5, 'learning_rate': 0.009899000108207845, 'subsample': 0.6954405930571528, 'colsample_bytree': 0.8874602629991181, 'min_child_weight': 3}
Trial 235: Value=0.11396624878341775, Params={'n_estimators': 469, 'max_depth': 5, 'learning_rate': 0.008681925592723825, 'subsample': 0.6959659182232669, 'colsample_bytree': 0.9108688641062688, 'min_child_weight': 3}
Trial 236: Value=0.11362767314829901, Params={'n_estimators': 457, 'max_depth': 5, 'learning_rate': 0.00999139331698215, 'subsample': 0.7007626119305149, 'colsample_bytree': 0.8820438654377079, 'min_child_weight': 3}
Trial 237: Value=0.11824798796211411, Params={'n_estimators': 408, 'max_depth': 4, 'learning_rate': 0.007335904046962492, 'subsample': 0.6676834405052985, 'colsample_bytree': 0.8983029712868762, 'min_child_weight': 3}
Trial 238: Value=0.11373350574505993, Params={'n_estimators': 521, 'max_depth': 5, 'learning_rate': 0.008145179475615478, 'subsample': 0.6909358343771151, 'colsample_bytree': 0.8753628849528555, 'min_child_weight': 3}
Trial 239: Value=0.11409415651749626, Params={'n_estimators': 446, 'max_depth': 5, 'learning_rate': 0.009981051601141334, 'subsample': 0.6755780643271857, 'colsample_bytree': 0.9082649329464485, 'min_child_weight': 3}
Trial 240: Value=0.11432742130957912, Params={'n_estimators': 522, 'max_depth': 5, 'learning_rate': 0.007383578148455922, 'subsample': 0.6496512706491901, 'colsample_bytree': 0.8881931606309268, 'min_child_weight': 3}
Trial 241: Value=0.11293533287750784, Params={'n_estimators': 489, 'max_depth': 5, 'learning_rate': 0.008976701786370998, 'subsample': 0.6818960769559084, 'colsample_bytree': 0.8938006245920341, 'min_child_weight': 3}
Trial 242: Value=0.791632052324437, Params={'n_estimators': 488, 'max_depth': 5, 'learning_rate': 0.00031319569910857984, 'subsample': 0.6870303776077806, 'colsample_bytree': 0.8975784005766182, 'min_child_weight': 3}
Trial 243: Value=0.11648734379346688, Params={'n_estimators': 472, 'max_depth': 5, 'learning_rate': 0.008768449687416358, 'subsample': 0.658851428744989, 'colsample_bytree': 0.8829551212339547, 'min_child_weight': 7}
Trial 244: Value=0.11323925982407305, Params={'n_estimators': 512, 'max_depth': 5, 'learning_rate': 0.008492078446541028, 'subsample': 0.6771077567781736, 'colsample_bytree': 0.9140496563345615, 'min_child_weight': 3}
Trial 245: Value=0.1138741499121637, Params={'n_estimators': 507, 'max_depth': 5, 'learning_rate': 0.007976877816221025, 'subsample': 0.6746146104329126, 'colsample_bytree': 0.9162903505877378, 'min_child_weight': 3}
Trial 246: Value=0.11464078307386714, Params={'n_estimators': 533, 'max_depth': 4, 'learning_rate': 0.006911242871520606, 'subsample': 0.6674099081570131, 'colsample_bytree': 0.9029017824090368, 'min_child_weight': 3}
Trial 247: Value=0.11297769462094642, Params={'n_estimators': 564, 'max_depth': 5, 'learning_rate': 0.008724474090164816, 'subsample': 0.6805643606333976, 'colsample_bytree': 0.8702277728163875, 'min_child_weight': 3}
Trial 248: Value=0.11320278796029204, Params={'n_estimators': 565, 'max_depth': 5, 'learning_rate': 0.008193888285139103, 'subsample': 0.6770539962710459, 'colsample_bytree': 0.8695103189221475, 'min_child_weight': 3}
Trial 249: Value=0.11504044776267784, Params={'n_estimators': 573, 'max_depth': 5, 'learning_rate': 0.006597166006966819, 'subsample': 0.6599575514275966, 'colsample_bytree': 0.8684099944833908, 'min_child_weight': 4}
Trial 250: Value=0.11391490815648579, Params={'n_estimators': 549, 'max_depth': 4, 'learning_rate': 0.007663001988436333, 'subsample': 0.6762322921837335, 'colsample_bytree': 0.8698097227738114, 'min_child_weight': 3}
Trial 251: Value=0.11334722055511036, Params={'n_estimators': 564, 'max_depth': 5, 'learning_rate': 0.00817447085366455, 'subsample': 0.6664448966911202, 'colsample_bytree': 0.8712275235162822, 'min_child_weight': 3}
Trial 252: Value=0.11325390334265917, Params={'n_estimators': 567, 'max_depth': 5, 'learning_rate': 0.007735990348218831, 'subsample': 0.6647013219522335, 'colsample_bytree': 0.8724261181392364, 'min_child_weight': 3}
Trial 253: Value=0.1148886530133147, Params={'n_estimators': 569, 'max_depth': 5, 'learning_rate': 0.006427548865330057, 'subsample': 0.6480062541335714, 'colsample_bytree': 0.8728352230685494, 'min_child_weight': 2}
Trial 254: Value=0.11379649511755562, Params={'n_estimators': 564, 'max_depth': 5, 'learning_rate': 0.0072624000148789674, 'subsample': 0.667181483045133, 'colsample_bytree': 0.8664961672064768, 'min_child_weight': 3}
Trial 255: Value=0.24772364370147984, Params={'n_estimators': 532, 'max_depth': 8, 'learning_rate': 0.00205699418793176, 'subsample': 0.6571458776334398, 'colsample_bytree': 0.8765213836990626, 'min_child_weight': 3}
Trial 256: Value=0.1135526897690559, Params={'n_estimators': 550, 'max_depth': 5, 'learning_rate': 0.007844108017467077, 'subsample': 0.6728119747981719, 'colsample_bytree': 0.9168983799200964, 'min_child_weight': 3}
Trial 257: Value=0.11609372496030311, Params={'n_estimators': 576, 'max_depth': 9, 'learning_rate': 0.006197280305072299, 'subsample': 0.6415712693344691, 'colsample_bytree': 0.8670655753090015, 'min_child_weight': 3}
Trial 258: Value=0.11366525865971189, Params={'n_estimators': 585, 'max_depth': 5, 'learning_rate': 0.008117372425030536, 'subsample': 0.6619579869686332, 'colsample_bytree': 0.9036057307064225, 'min_child_weight': 3}
Trial 259: Value=0.11481893756462314, Params={'n_estimators': 518, 'max_depth': 4, 'learning_rate': 0.007133040542394552, 'subsample': 0.6797237296417639, 'colsample_bytree': 0.8789294810346308, 'min_child_weight': 3}
Trial 260: Value=0.11441656500942475, Params={'n_estimators': 560, 'max_depth': 5, 'learning_rate': 0.00850798159309235, 'subsample': 0.6702419702716196, 'colsample_bytree': 0.928040116243703, 'min_child_weight': 4}
Trial 261: Value=0.117643143046398, Params={'n_estimators': 534, 'max_depth': 5, 'learning_rate': 0.00581667441604585, 'subsample': 0.6513774173369038, 'colsample_bytree': 0.8627059994562444, 'min_child_weight': 3}
Trial 262: Value=0.11518456235094805, Params={'n_estimators': 492, 'max_depth': 5, 'learning_rate': 0.007072975838157102, 'subsample': 0.6768546344791115, 'colsample_bytree': 0.911189026399228, 'min_child_weight': 3}
Trial 263: Value=0.1138522487830766, Params={'n_estimators': 587, 'max_depth': 5, 'learning_rate': 0.00844863135768229, 'subsample': 0.698965743897338, 'colsample_bytree': 0.8964820726394378, 'min_child_weight': 3}
Trial 264: Value=0.9872532352869855, Params={'n_estimators': 550, 'max_depth': 4, 'learning_rate': 1.585481910121055e-05, 'subsample': 0.664035201139137, 'colsample_bytree': 0.8794331415220322, 'min_child_weight': 2}
Trial 265: Value=0.11354222246958663, Params={'n_estimators': 575, 'max_depth': 5, 'learning_rate': 0.007996828454669303, 'subsample': 0.6813577813150163, 'colsample_bytree': 0.9035642179939826, 'min_child_weight': 3}
Trial 266: Value=0.11385148082794912, Params={'n_estimators': 510, 'max_depth': 7, 'learning_rate': 0.008878194479656812, 'subsample': 0.6514607621272933, 'colsample_bytree': 0.863180796580529, 'min_child_weight': 3}
Trial 267: Value=0.1159557454938338, Params={'n_estimators': 531, 'max_depth': 5, 'learning_rate': 0.006527545300367442, 'subsample': 0.6372532129630819, 'colsample_bytree': 0.9233769709022063, 'min_child_weight': 2}
Trial 268: Value=0.11409423746136434, Params={'n_estimators': 592, 'max_depth': 8, 'learning_rate': 0.007513285784924046, 'subsample': 0.7036454802387068, 'colsample_bytree': 0.8737797529443363, 'min_child_weight': 3}
Trial 269: Value=0.8894837869560589, Params={'n_estimators': 483, 'max_depth': 4, 'learning_rate': 0.00015824519452313556, 'subsample': 0.6630199542908651, 'colsample_bytree': 0.8930105582824115, 'min_child_weight': 3}
Trial 270: Value=0.11305512690383684, Params={'n_estimators': 565, 'max_depth': 5, 'learning_rate': 0.008717236241147001, 'subsample': 0.680102662430866, 'colsample_bytree': 0.8834544565017732, 'min_child_weight': 3}
Trial 271: Value=0.11343046375630371, Params={'n_estimators': 556, 'max_depth': 5, 'learning_rate': 0.008826680075232492, 'subsample': 0.6807866958851696, 'colsample_bytree': 0.881007045019437, 'min_child_weight': 3}
Trial 272: Value=0.11331866823522445, Params={'n_estimators': 576, 'max_depth': 5, 'learning_rate': 0.00883142876755335, 'subsample': 0.6921173539778044, 'colsample_bytree': 0.8688224343251204, 'min_child_weight': 3}
Trial 273: Value=0.113762185365553, Params={'n_estimators': 565, 'max_depth': 5, 'learning_rate': 0.00873371575432767, 'subsample': 0.6944076258700711, 'colsample_bytree': 0.859482216145193, 'min_child_weight': 3}
Trial 274: Value=0.11406234406128324, Params={'n_estimators': 539, 'max_depth': 5, 'learning_rate': 0.009952421348075816, 'subsample': 0.6844273514610534, 'colsample_bytree': 0.8713651329720051, 'min_child_weight': 4}
Trial 275: Value=0.11419692985007586, Params={'n_estimators': 579, 'max_depth': 5, 'learning_rate': 0.007724866458039971, 'subsample': 0.6997021887436534, 'colsample_bytree': 0.8678497472667042, 'min_child_weight': 2}
Trial 276: Value=0.1134632939744098, Params={'n_estimators': 524, 'max_depth': 5, 'learning_rate': 0.008712415879451103, 'subsample': 0.688918482271148, 'colsample_bytree': 0.881958038823788, 'min_child_weight': 3}
Trial 277: Value=0.11491465737230726, Params={'n_estimators': 505, 'max_depth': 4, 'learning_rate': 0.00742190414421902, 'subsample': 0.6724949052516476, 'colsample_bytree': 0.8572138829154516, 'min_child_weight': 3}
Trial 278: Value=0.11552734527279925, Params={'n_estimators': 553, 'max_depth': 5, 'learning_rate': 0.0065433158821491385, 'subsample': 0.7046086137903814, 'colsample_bytree': 0.8853264480970771, 'min_child_weight': 3}
Trial 279: Value=0.11346154076295843, Params={'n_estimators': 597, 'max_depth': 5, 'learning_rate': 0.008981662714257942, 'subsample': 0.6802014183444703, 'colsample_bytree': 0.8935237797915675, 'min_child_weight': 3}
Trial 280: Value=0.11356455705646917, Params={'n_estimators': 566, 'max_depth': 5, 'learning_rate': 0.007886514794530307, 'subsample': 0.6871625645446856, 'colsample_bytree': 0.8761452997624066, 'min_child_weight': 3}
Trial 281: Value=0.13915889932411632, Params={'n_estimators': 488, 'max_depth': 5, 'learning_rate': 0.005630694683847255, 'subsample': 0.6944799214998224, 'colsample_bytree': 0.8681802615678681, 'min_child_weight': 10}
Trial 282: Value=0.11318104689837061, Params={'n_estimators': 543, 'max_depth': 5, 'learning_rate': 0.008896766650834517, 'subsample': 0.6750041080434154, 'colsample_bytree': 0.8853573060066859, 'min_child_weight': 3}
Trial 283: Value=0.11348098870228086, Params={'n_estimators': 538, 'max_depth': 5, 'learning_rate': 0.009968024774962546, 'subsample': 0.6790773742429419, 'colsample_bytree': 0.8820154883799887, 'min_child_weight': 3}
Trial 284: Value=0.1152933001032212, Params={'n_estimators': 516, 'max_depth': 5, 'learning_rate': 0.007295756699898101, 'subsample': 0.7042239429079481, 'colsample_bytree': 0.8949273159443513, 'min_child_weight': 3}
Trial 285: Value=0.11382918680717484, Params={'n_estimators': 550, 'max_depth': 5, 'learning_rate': 0.008337187041157079, 'subsample': 0.6726063879510963, 'colsample_bytree': 0.8614543749134587, 'min_child_weight': 4}
Trial 286: Value=0.11569817203770787, Params={'n_estimators': 571, 'max_depth': 4, 'learning_rate': 0.0062343764785454696, 'subsample': 0.695478507299023, 'colsample_bytree': 0.8746069073040008, 'min_child_weight': 3}
Trial 287: Value=0.1138089951877358, Params={'n_estimators': 523, 'max_depth': 5, 'learning_rate': 0.008618798278479847, 'subsample': 0.6893708601076034, 'colsample_bytree': 0.8867717660796923, 'min_child_weight': 3}
Trial 288: Value=0.11626119693009035, Params={'n_estimators': 472, 'max_depth': 5, 'learning_rate': 0.007008826684572268, 'subsample': 0.6730300692170929, 'colsample_bytree': 0.8995852110005469, 'min_child_weight': 3}
Trial 289: Value=0.11455757020576814, Params={'n_estimators': 578, 'max_depth': 4, 'learning_rate': 0.007940271539945528, 'subsample': 0.6570963758579617, 'colsample_bytree': 0.8830346093905028, 'min_child_weight': 3}
Trial 290: Value=0.11831737750732256, Params={'n_estimators': 539, 'max_depth': 5, 'learning_rate': 0.009956975891844088, 'subsample': 0.6829206623653918, 'colsample_bytree': 0.8581632326774125, 'min_child_weight': 8}
Trial 291: Value=0.11361718142143205, Params={'n_estimators': 503, 'max_depth': 5, 'learning_rate': 0.008833073699218697, 'subsample': 0.6651229571074134, 'colsample_bytree': 0.8699453255096988, 'min_child_weight': 3}
Trial 292: Value=0.11384376673884944, Params={'n_estimators': 599, 'max_depth': 5, 'learning_rate': 0.0069110422743132865, 'subsample': 0.6901472680572336, 'colsample_bytree': 0.907126188183011, 'min_child_weight': 3}
Trial 293: Value=0.11440524464799033, Params={'n_estimators': 559, 'max_depth': 5, 'learning_rate': 0.007804768847438453, 'subsample': 0.7079304772730698, 'colsample_bytree': 0.8933139751737673, 'min_child_weight': 4}
Trial 294: Value=0.11355120235888888, Params={'n_estimators': 495, 'max_depth': 5, 'learning_rate': 0.008903492714748364, 'subsample': 0.6750077687424951, 'colsample_bytree': 0.8764649410627592, 'min_child_weight': 3}
Trial 295: Value=0.2530466499497259, Params={'n_estimators': 196, 'max_depth': 4, 'learning_rate': 0.005434075652256697, 'subsample': 0.6608551953885814, 'colsample_bytree': 0.88597045766638, 'min_child_weight': 3}
Trial 296: Value=0.1155935340289166, Params={'n_estimators': 584, 'max_depth': 6, 'learning_rate': 0.006200325588184323, 'subsample': 0.6830447735330035, 'colsample_bytree': 0.8661894305546911, 'min_child_weight': 3}
Trial 297: Value=0.6476739044621063, Params={'n_estimators': 523, 'max_depth': 5, 'learning_rate': 0.0005495479326686504, 'subsample': 0.6965612477362577, 'colsample_bytree': 0.9014317838721575, 'min_child_weight': 2}
Trial 298: Value=0.34280964886029297, Params={'n_estimators': 472, 'max_depth': 5, 'learning_rate': 0.001656455450408524, 'subsample': 0.674806921879433, 'colsample_bytree': 0.855281088487462, 'min_child_weight': 3}
Trial 299: Value=0.1138436975248911, Params={'n_estimators': 552, 'max_depth': 5, 'learning_rate': 0.007959961106139979, 'subsample': 0.6514454208886227, 'colsample_bytree': 0.8940360627489697, 'min_child_weight': 3}
Trial 300: Value=0.11280210946203463, Params={'n_estimators': 582, 'max_depth': 6, 'learning_rate': 0.009975754031928987, 'subsample': 0.6662049883072982, 'colsample_bytree': 0.8780927866147662, 'min_child_weight': 3}
Trial 301: Value=0.11456500802164549, Params={'n_estimators': 410, 'max_depth': 6, 'learning_rate': 0.009066398821406921, 'subsample': 0.7073105940811651, 'colsample_bytree': 0.9119470810585706, 'min_child_weight': 3}
Trial 302: Value=0.11532262582311376, Params={'n_estimators': 603, 'max_depth': 6, 'learning_rate': 0.00983511812528942, 'subsample': 0.6877553896765977, 'colsample_bytree': 0.8810976972184508, 'min_child_weight': 5}
Trial 303: Value=0.11392219120040163, Params={'n_estimators': 592, 'max_depth': 6, 'learning_rate': 0.007061573169994076, 'subsample': 0.6810306507351621, 'colsample_bytree': 0.8907226638579717, 'min_child_weight': 2}
Trial 304: Value=0.11318051184387119, Params={'n_estimators': 534, 'max_depth': 6, 'learning_rate': 0.00995891000116379, 'subsample': 0.6996299762123831, 'colsample_bytree': 0.9024934237964437, 'min_child_weight': 3}
Trial 305: Value=0.11352013901251828, Params={'n_estimators': 536, 'max_depth': 6, 'learning_rate': 0.009808081300348766, 'subsample': 0.669563160765224, 'colsample_bytree': 0.9006715501163667, 'min_child_weight': 3}
Trial 306: Value=0.11389746156717562, Params={'n_estimators': 433, 'max_depth': 6, 'learning_rate': 0.009940889348833882, 'subsample': 0.6585651163389743, 'colsample_bytree': 0.9112618164117563, 'min_child_weight': 3}
Trial 307: Value=0.11496470414182919, Params={'n_estimators': 502, 'max_depth': 6, 'learning_rate': 0.007825508692077399, 'subsample': 0.6923749333791827, 'colsample_bytree': 0.9041200771227093, 'min_child_weight': 3}
Trial 308: Value=0.11298288318284781, Params={'n_estimators': 539, 'max_depth': 6, 'learning_rate': 0.009966306824335242, 'subsample': 0.6775844223750941, 'colsample_bytree': 0.8874011740020727, 'min_child_weight': 3}
Trial 309: Value=0.11371563018178228, Params={'n_estimators': 519, 'max_depth': 6, 'learning_rate': 0.008908378451008595, 'subsample': 0.674795292131095, 'colsample_bytree': 0.8901271791233277, 'min_child_weight': 3}
Trial 310: Value=0.11403003142374296, Params={'n_estimators': 543, 'max_depth': 6, 'learning_rate': 0.0074645891639790836, 'subsample': 0.6507089640872279, 'colsample_bytree': 0.8982283856794852, 'min_child_weight': 4}
Trial 311: Value=0.11287832390062663, Params={'n_estimators': 488, 'max_depth': 6, 'learning_rate': 0.009909080518204485, 'subsample': 0.6658577568324568, 'colsample_bytree': 0.881678315877828, 'min_child_weight': 3}
Trial 312: Value=0.1139849648704931, Params={'n_estimators': 486, 'max_depth': 6, 'learning_rate': 0.008115277076420537, 'subsample': 0.6620334256792134, 'colsample_bytree': 0.8792807022984713, 'min_child_weight': 3}
Trial 313: Value=0.11468831283848469, Params={'n_estimators': 473, 'max_depth': 6, 'learning_rate': 0.009857963860587507, 'subsample': 0.6465183918881141, 'colsample_bytree': 0.9189807276111548, 'min_child_weight': 3}
Trial 314: Value=0.11731140965920335, Params={'n_estimators': 449, 'max_depth': 6, 'learning_rate': 0.006957604684110205, 'subsample': 0.6646253961437107, 'colsample_bytree': 0.9103113416164039, 'min_child_weight': 4}
Trial 315: Value=0.11357059118430736, Params={'n_estimators': 504, 'max_depth': 7, 'learning_rate': 0.009947060245944082, 'subsample': 0.6739487986213358, 'colsample_bytree': 0.8931238381517751, 'min_child_weight': 3}
Trial 316: Value=0.11423916568766036, Params={'n_estimators': 513, 'max_depth': 6, 'learning_rate': 0.008399430536778413, 'subsample': 0.6320316162584484, 'colsample_bytree': 0.882646057886571, 'min_child_weight': 3}
Trial 317: Value=0.9637050859830425, Params={'n_estimators': 488, 'max_depth': 6, 'learning_rate': 5.0869588775828104e-05, 'subsample': 0.6688943669118659, 'colsample_bytree': 0.7359610814844845, 'min_child_weight': 2}
Trial 318: Value=0.11373060992720514, Params={'n_estimators': 528, 'max_depth': 6, 'learning_rate': 0.009924313745099113, 'subsample': 0.656740645833562, 'colsample_bytree': 0.8989789246826785, 'min_child_weight': 3}
Trial 319: Value=0.1211288949956217, Params={'n_estimators': 537, 'max_depth': 7, 'learning_rate': 0.006467995754505241, 'subsample': 0.6811960897903481, 'colsample_bytree': 0.6342125071376639, 'min_child_weight': 3}
Trial 320: Value=0.11504868808683094, Params={'n_estimators': 459, 'max_depth': 6, 'learning_rate': 0.008102405903681104, 'subsample': 0.6447235550646017, 'colsample_bytree': 0.8762549423334325, 'min_child_weight': 3}
Trial 321: Value=0.11502542304515961, Params={'n_estimators': 479, 'max_depth': 6, 'learning_rate': 0.007371661089390619, 'subsample': 0.6812585424703055, 'colsample_bytree': 0.9082263519249305, 'min_child_weight': 3}
Trial 322: Value=0.11411018486950462, Params={'n_estimators': 505, 'max_depth': 6, 'learning_rate': 0.008384758661909943, 'subsample': 0.667477293975325, 'colsample_bytree': 0.887127740816781, 'min_child_weight': 2}
Trial 323: Value=0.1132880141221838, Params={'n_estimators': 524, 'max_depth': 6, 'learning_rate': 0.009937758405100939, 'subsample': 0.6998040951255928, 'colsample_bytree': 0.875949016854836, 'min_child_weight': 3}
Trial 324: Value=0.11640497557545883, Params={'n_estimators': 567, 'max_depth': 6, 'learning_rate': 0.005997202481384816, 'subsample': 0.6874549738243437, 'colsample_bytree': 0.892378669479207, 'min_child_weight': 3}
Trial 325: Value=0.11400749664472391, Params={'n_estimators': 548, 'max_depth': 5, 'learning_rate': 0.00873465109353132, 'subsample': 0.6536303419979934, 'colsample_bytree': 0.903486939931165, 'min_child_weight': 3}
Trial 326: Value=0.11401576461203955, Params={'n_estimators': 611, 'max_depth': 5, 'learning_rate': 0.007180437748543198, 'subsample': 0.6723914843853362, 'colsample_bytree': 0.8669425451101054, 'min_child_weight': 3}
Trial 327: Value=0.528284019988222, Params={'n_estimators': 356, 'max_depth': 4, 'learning_rate': 0.0012359318331537296, 'subsample': 0.5977093323814473, 'colsample_bytree': 0.9160469884246356, 'min_child_weight': 3}
Trial 328: Value=0.506243505637375, Params={'n_estimators': 586, 'max_depth': 6, 'learning_rate': 0.0007964457947178631, 'subsample': 0.6801276711953461, 'colsample_bytree': 0.8829708221269211, 'min_child_weight': 3}
Trial 329: Value=0.11442405687931727, Params={'n_estimators': 493, 'max_depth': 6, 'learning_rate': 0.00871918335804488, 'subsample': 0.6958755430235389, 'colsample_bytree': 0.8929439973128905, 'min_child_weight': 3}
Trial 330: Value=0.931138846876537, Params={'n_estimators': 515, 'max_depth': 5, 'learning_rate': 8.875438537556995e-05, 'subsample': 0.9072835489650105, 'colsample_bytree': 0.874328368364391, 'min_child_weight': 3}
Trial 331: Value=0.12724393931876635, Params={'n_estimators': 466, 'max_depth': 7, 'learning_rate': 0.007321713973413674, 'subsample': 0.6615476408327541, 'colsample_bytree': 0.5143448296451345, 'min_child_weight': 4}
Trial 332: Value=0.11453530598428728, Params={'n_estimators': 564, 'max_depth': 14, 'learning_rate': 0.008645069655489257, 'subsample': 0.7100797767938042, 'colsample_bytree': 0.9034973443232285, 'min_child_weight': 3}
Trial 333: Value=0.11492941659418772, Params={'n_estimators': 543, 'max_depth': 5, 'learning_rate': 0.006420715400248216, 'subsample': 0.640537410348737, 'colsample_bytree': 0.8873619199805112, 'min_child_weight': 3}
Trial 334: Value=0.11312193219143507, Params={'n_estimators': 615, 'max_depth': 5, 'learning_rate': 0.009996194224944759, 'subsample': 0.673784794142008, 'colsample_bytree': 0.8617921764664176, 'min_child_weight': 3}
Trial 335: Value=0.11451086822412583, Params={'n_estimators': 611, 'max_depth': 4, 'learning_rate': 0.009976530381360935, 'subsample': 0.6709677014430591, 'colsample_bytree': 0.8544618226077917, 'min_child_weight': 2}
Trial 336: Value=0.11442814606325125, Params={'n_estimators': 587, 'max_depth': 15, 'learning_rate': 0.007714855200935583, 'subsample': 0.6577056171930346, 'colsample_bytree': 0.8600965848808425, 'min_child_weight': 3}
Trial 337: Value=0.11427907503698746, Params={'n_estimators': 614, 'max_depth': 5, 'learning_rate': 0.008871978477435618, 'subsample': 0.6762358950435782, 'colsample_bytree': 0.8634259384974136, 'min_child_weight': 4}
Trial 338: Value=0.1181822723884182, Params={'n_estimators': 571, 'max_depth': 6, 'learning_rate': 0.005301580999296022, 'subsample': 0.666239809524612, 'colsample_bytree': 0.9251298254180061, 'min_child_weight': 3}
Trial 339: Value=0.11371054818082481, Params={'n_estimators': 601, 'max_depth': 5, 'learning_rate': 0.009929407022639003, 'subsample': 0.6831925636785928, 'colsample_bytree': 0.8724763777979316, 'min_child_weight': 3}
Trial 340: Value=0.11582688844262679, Params={'n_estimators': 557, 'max_depth': 6, 'learning_rate': 0.007799708251478105, 'subsample': 0.6509940744163704, 'colsample_bytree': 0.7113455185679475, 'min_child_weight': 3}
Trial 341: Value=0.11557301696674138, Params={'n_estimators': 582, 'max_depth': 5, 'learning_rate': 0.006866209873814619, 'subsample': 0.6222325938877654, 'colsample_bytree': 0.7523763619273205, 'min_child_weight': 3}
Trial 342: Value=0.11356756349643177, Params={'n_estimators': 523, 'max_depth': 5, 'learning_rate': 0.009961355390224306, 'subsample': 0.6761585918395836, 'colsample_bytree': 0.8779011155862865, 'min_child_weight': 3}
Trial 343: Value=0.11426790046662504, Params={'n_estimators': 618, 'max_depth': 7, 'learning_rate': 0.008107493812000452, 'subsample': 0.6611857403915221, 'colsample_bytree': 0.9377873144695089, 'min_child_weight': 3}
