Best trial value: 0.004615970840620621
Best hyperparameters: {'hidden_dim': 60, 'num_layers': 2, 'learning_rate': 0.0002759469773922751, 'weight_decay': 0.00046458743267201614, 'dropout_rate': 0.1304723152999592, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}

All trial results:
Trial 0: Value=0.008825693751038107, Params={'hidden_dim': 24, 'num_layers': 7, 'learning_rate': 0.0004669048821018693, 'weight_decay': 1.1553883993917037e-07, 'dropout_rate': 0.4594460220075136, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 268: Value=0.004805530118879682, Params={'hidden_dim': 65, 'num_layers': 5, 'learning_rate': 0.00020991980087082363, 'weight_decay': 0.00018908299597380395, 'dropout_rate': 0.10903648360147165, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 269: Value=0.004788217564714312, Params={'hidden_dim': 83, 'num_layers': 3, 'learning_rate': 0.0003041077499465168, 'weight_decay': 0.0003396461770561692, 'dropout_rate': 0.10040963434252437, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 270: Value=0.005173952656229687, Params={'hidden_dim': 57, 'num_layers': 6, 'learning_rate': 0.00039319934083603756, 'weight_decay': 0.00024455795274263116, 'dropout_rate': 0.11182598564882416, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 271: Value=0.004921468702209632, Params={'hidden_dim': 72, 'num_layers': 3, 'learning_rate': 0.00024018352113503743, 'weight_decay': 0.0003717940861036175, 'dropout_rate': 0.12848969694870402, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 272: Value=0.004795596468785249, Params={'hidden_dim': 64, 'num_layers': 3, 'learning_rate': 0.0002013767720402622, 'weight_decay': 0.00026033026379897786, 'dropout_rate': 0.11844592441399748, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 273: Value=0.004808381400505613, Params={'hidden_dim': 78, 'num_layers': 4, 'learning_rate': 0.00025141012697969985, 'weight_decay': 0.0003538631875136325, 'dropout_rate': 0.11704149184141217, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 274: Value=0.005012053959393572, Params={'hidden_dim': 84, 'num_layers': 4, 'learning_rate': 0.0003053479078182331, 'weight_decay': 5.71479053862165e-05, 'dropout_rate': 0.15082626489552273, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 275: Value=0.0051508579782036995, Params={'hidden_dim': 68, 'num_layers': 8, 'learning_rate': 0.0002013464836122312, 'weight_decay': 0.00016884249143274508, 'dropout_rate': 0.10549951202405057, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 276: Value=0.0047673074974293635, Params={'hidden_dim': 60, 'num_layers': 3, 'learning_rate': 0.00023354166421305045, 'weight_decay': 0.00027303387346769775, 'dropout_rate': 0.13092632386096092, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 277: Value=0.013777277722487241, Params={'hidden_dim': 52, 'num_layers': 5, 'learning_rate': 0.0002192783207604582, 'weight_decay': 1.3687233175149589e-08, 'dropout_rate': 0.1414127151244484, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 278: Value=0.006154178912691447, Params={'hidden_dim': 60, 'num_layers': 3, 'learning_rate': 0.00034328104495092967, 'weight_decay': 5.249807078043388e-07, 'dropout_rate': 0.13175519652097725, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 279: Value=0.004725567268586512, Params={'hidden_dim': 56, 'num_layers': 3, 'learning_rate': 0.00019917908868246587, 'weight_decay': 0.0002347710221008736, 'dropout_rate': 0.12163519941305309, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 280: Value=0.014023184548600154, Params={'hidden_dim': 65, 'num_layers': 3, 'learning_rate': 0.00019391970514178833, 'weight_decay': 0.00019495023533805633, 'dropout_rate': 0.12295763775567985, 'optimizer': 'AdamW', 'activation_function': 'sigmoid'}
Trial 281: Value=0.05949158487705508, Params={'hidden_dim': 53, 'num_layers': 4, 'learning_rate': 1.3491231301924549e-05, 'weight_decay': 0.00011833106129405604, 'dropout_rate': 0.11500757803241206, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 282: Value=0.0047818321825350805, Params={'hidden_dim': 55, 'num_layers': 3, 'learning_rate': 0.0001956854469059034, 'weight_decay': 0.0003766490667140586, 'dropout_rate': 0.10672795106704197, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 283: Value=0.004933765075833996, Params={'hidden_dim': 70, 'num_layers': 4, 'learning_rate': 0.0002797577038638029, 'weight_decay': 0.0002517214026021657, 'dropout_rate': 0.12258565403846398, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 284: Value=0.004763959270034559, Params={'hidden_dim': 62, 'num_layers': 3, 'learning_rate': 0.0001647407049374079, 'weight_decay': 0.00038658160382822645, 'dropout_rate': 0.11186223088306096, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 285: Value=0.004723390541334262, Params={'hidden_dim': 63, 'num_layers': 3, 'learning_rate': 0.0001705406413812474, 'weight_decay': 0.00038765987166479237, 'dropout_rate': 0.11370502431607545, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 286: Value=0.005009767443335021, Params={'hidden_dim': 74, 'num_layers': 3, 'learning_rate': 0.00016858497614802406, 'weight_decay': 0.0010428373534185518, 'dropout_rate': 0.10171965174898455, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 287: Value=0.004784271446010543, Params={'hidden_dim': 66, 'num_layers': 3, 'learning_rate': 0.00019878479582467295, 'weight_decay': 0.0004144270187560793, 'dropout_rate': 0.11511422452353884, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 288: Value=0.04176808891177752, Params={'hidden_dim': 85, 'num_layers': 3, 'learning_rate': 0.00022214190509474012, 'weight_decay': 2.4129095989357134e-05, 'dropout_rate': 0.10042685758001497, 'optimizer': 'SGD', 'activation_function': 'leaky_relu'}
Trial 289: Value=0.006105807483232778, Params={'hidden_dim': 98, 'num_layers': 3, 'learning_rate': 0.00017221914694745918, 'weight_decay': 0.0005714290986077806, 'dropout_rate': 0.12406761653501003, 'optimizer': 'Adam', 'activation_function': 'tanh'}
Trial 290: Value=0.02539531492737668, Params={'hidden_dim': 72, 'num_layers': 3, 'learning_rate': 0.00019599387847450139, 'weight_decay': 2.766781753903521e-07, 'dropout_rate': 0.10948376865639362, 'optimizer': 'RAdam', 'activation_function': 'leaky_relu'}
Trial 291: Value=0.008837795464390839, Params={'hidden_dim': 58, 'num_layers': 14, 'learning_rate': 0.00023718449114137, 'weight_decay': 0.000315447404736696, 'dropout_rate': 0.11909729752456226, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 292: Value=0.00473942899018692, Params={'hidden_dim': 78, 'num_layers': 3, 'learning_rate': 0.00015876285897284848, 'weight_decay': 0.0004330464304309267, 'dropout_rate': 0.12818192318893132, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 293: Value=0.004677862385948122, Params={'hidden_dim': 68, 'num_layers': 3, 'learning_rate': 0.000159935615675955, 'weight_decay': 0.00041990842089782704, 'dropout_rate': 0.12927186488172665, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 294: Value=0.005690052821686442, Params={'hidden_dim': 62, 'num_layers': 3, 'learning_rate': 0.00014322362538144056, 'weight_decay': 0.0004111319409817512, 'dropout_rate': 0.1335740753544539, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 295: Value=0.0046935864326832916, Params={'hidden_dim': 78, 'num_layers': 3, 'learning_rate': 0.00016692413291388922, 'weight_decay': 0.0007237829043630925, 'dropout_rate': 0.1482491771292727, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 296: Value=0.00499716067362602, Params={'hidden_dim': 77, 'num_layers': 3, 'learning_rate': 0.00015636061729837626, 'weight_decay': 0.0012302741650401835, 'dropout_rate': 0.14445561631025985, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 297: Value=0.004835654262639677, Params={'hidden_dim': 77, 'num_layers': 3, 'learning_rate': 0.00015781811388045002, 'weight_decay': 0.0008634072408296548, 'dropout_rate': 0.14331747241980272, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 298: Value=0.00472886185140193, Params={'hidden_dim': 67, 'num_layers': 3, 'learning_rate': 0.00017374243920164722, 'weight_decay': 0.0006942687962855379, 'dropout_rate': 0.1534432649241305, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 299: Value=0.004926278964164247, Params={'hidden_dim': 65, 'num_layers': 3, 'learning_rate': 0.00017027718479874077, 'weight_decay': 0.0006855396110520053, 'dropout_rate': 0.14991365601600057, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 300: Value=0.005054566048488851, Params={'hidden_dim': 81, 'num_layers': 4, 'learning_rate': 0.00013472547128213353, 'weight_decay': 0.0010591301385330797, 'dropout_rate': 0.16084784094819096, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 301: Value=0.005628042496770891, Params={'hidden_dim': 89, 'num_layers': 9, 'learning_rate': 0.0001569564785113385, 'weight_decay': 0.0004785270148301924, 'dropout_rate': 0.12896582795136802, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 302: Value=0.004910702765372819, Params={'hidden_dim': 72, 'num_layers': 3, 'learning_rate': 0.0001864802801479041, 'weight_decay': 0.0009115636637289412, 'dropout_rate': 0.15653797063609254, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 303: Value=0.00495244156648332, Params={'hidden_dim': 58, 'num_layers': 3, 'learning_rate': 0.0001185539670130077, 'weight_decay': 0.000634108281926632, 'dropout_rate': 0.48062508510150265, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 304: Value=0.004704563192482864, Params={'hidden_dim': 66, 'num_layers': 3, 'learning_rate': 0.00017772000624722718, 'weight_decay': 0.0005324020104949605, 'dropout_rate': 0.13660207340529357, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 305: Value=0.004738820571683206, Params={'hidden_dim': 77, 'num_layers': 3, 'learning_rate': 0.0001533042693817517, 'weight_decay': 0.0005593845797957328, 'dropout_rate': 0.1332373907116858, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 306: Value=0.022190576298877954, Params={'hidden_dim': 79, 'num_layers': 7, 'learning_rate': 0.0001420990321778221, 'weight_decay': 0.000830029539344337, 'dropout_rate': 0.17035007468107724, 'optimizer': 'RMSprop', 'activation_function': 'sigmoid'}
Trial 307: Value=0.025175540178060826, Params={'hidden_dim': 88, 'num_layers': 4, 'learning_rate': 0.00015412934533351347, 'weight_decay': 3.1696951954087725e-06, 'dropout_rate': 0.14706302144117472, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 308: Value=0.028173924618169716, Params={'hidden_dim': 75, 'num_layers': 3, 'learning_rate': 0.00012886323254595908, 'weight_decay': 0.0006756031372135873, 'dropout_rate': 0.13909801756245618, 'optimizer': 'AdamW', 'activation_function': 'leaky_relu'}
Trial 309: Value=0.005059854743253025, Params={'hidden_dim': 96, 'num_layers': 3, 'learning_rate': 0.00017751642675446059, 'weight_decay': 0.0014619819527916576, 'dropout_rate': 0.13831112943168933, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 310: Value=0.008660491337405384, Params={'hidden_dim': 83, 'num_layers': 19, 'learning_rate': 0.00017469183121082566, 'weight_decay': 0.0003329477780163151, 'dropout_rate': 0.12881153134021206, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 311: Value=0.005091916276378947, Params={'hidden_dim': 73, 'num_layers': 4, 'learning_rate': 0.00014845561946287723, 'weight_decay': 0.0010422157870234928, 'dropout_rate': 0.13844487606120576, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 312: Value=0.0047493124894527885, Params={'hidden_dim': 92, 'num_layers': 3, 'learning_rate': 0.00018295018433055728, 'weight_decay': 0.0005312292176954824, 'dropout_rate': 0.1519429998728412, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 313: Value=0.004809617171802617, Params={'hidden_dim': 79, 'num_layers': 3, 'learning_rate': 0.00012418866429237703, 'weight_decay': 0.00037643657272852743, 'dropout_rate': 0.13174875851438914, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 314: Value=0.03746833769608501, Params={'hidden_dim': 68, 'num_layers': 3, 'learning_rate': 0.00015596186725058326, 'weight_decay': 0.0007075793532866444, 'dropout_rate': 0.12590721005459282, 'optimizer': 'SGD', 'activation_function': 'leaky_relu'}
Trial 315: Value=0.008668378374717345, Params={'hidden_dim': 62, 'num_layers': 15, 'learning_rate': 0.0001901878626928504, 'weight_decay': 0.0002878231505637842, 'dropout_rate': 0.14083423290466313, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 316: Value=0.005652113246034575, Params={'hidden_dim': 84, 'num_layers': 4, 'learning_rate': 0.00013619601233361795, 'weight_decay': 0.0005494231512704152, 'dropout_rate': 0.16444802768395642, 'optimizer': 'RMSprop', 'activation_function': 'tanh'}
Trial 317: Value=0.005601169273188384, Params={'hidden_dim': 74, 'num_layers': 3, 'learning_rate': 0.00017174486504994635, 'weight_decay': 0.00038613954146016747, 'dropout_rate': 0.13342364913443547, 'optimizer': 'RAdam', 'activation_function': 'leaky_relu'}
Trial 318: Value=0.007766906141555675, Params={'hidden_dim': 69, 'num_layers': 11, 'learning_rate': 0.0002167942779200207, 'weight_decay': 0.0002201694443194315, 'dropout_rate': 0.18187624200643995, 'optimizer': 'Adam', 'activation_function': 'leaky_relu'}
Trial 319: Value=0.004868516454441419, Params={'hidden_dim': 58, 'num_layers': 3, 'learning_rate': 0.00011317415581719679, 'weight_decay': 0.0009611506039340381, 'dropout_rate': 0.11826119430574031, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 320: Value=0.004982479329272979, Params={'hidden_dim': 51, 'num_layers': 4, 'learning_rate': 0.0001578763495084938, 'weight_decay': 0.0006912887618451335, 'dropout_rate': 0.14402895350862932, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 321: Value=0.004829380073611957, Params={'hidden_dim': 169, 'num_layers': 3, 'learning_rate': 0.0001974143555776202, 'weight_decay': 0.00046119746666688704, 'dropout_rate': 0.1262731147254715, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 322: Value=0.004797526958148616, Params={'hidden_dim': 77, 'num_layers': 3, 'learning_rate': 0.00024270595591112753, 'weight_decay': 0.0005460697322420817, 'dropout_rate': 0.13353319588043863, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 323: Value=0.0059187645547464016, Params={'hidden_dim': 63, 'num_layers': 2, 'learning_rate': 0.00017767862807716855, 'weight_decay': 0.0014049848035552878, 'dropout_rate': 0.15169751334322729, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 324: Value=0.004828756454911561, Params={'hidden_dim': 133, 'num_layers': 4, 'learning_rate': 0.00021153824057684734, 'weight_decay': 0.000293058588989095, 'dropout_rate': 0.12223543449651204, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 325: Value=0.004806854777096503, Params={'hidden_dim': 87, 'num_layers': 3, 'learning_rate': 0.00014396278361846068, 'weight_decay': 0.0008035032092747457, 'dropout_rate': 0.11460256698538626, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 326: Value=0.004798764849318214, Params={'hidden_dim': 99, 'num_layers': 2, 'learning_rate': 0.0002602736092399397, 'weight_decay': 0.0003860219780199683, 'dropout_rate': 0.13700567460234966, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 327: Value=0.020788699524137855, Params={'hidden_dim': 70, 'num_layers': 3, 'learning_rate': 0.000168386321566704, 'weight_decay': 0.00022988575444310108, 'dropout_rate': 0.12874695178794335, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 328: Value=0.00473437893851556, Params={'hidden_dim': 57, 'num_layers': 2, 'learning_rate': 0.00021230697534962092, 'weight_decay': 0.0006208692384975681, 'dropout_rate': 0.1474989265723676, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 329: Value=0.00498146462316822, Params={'hidden_dim': 81, 'num_layers': 2, 'learning_rate': 0.00019557194381779024, 'weight_decay': 0.0011443739969724176, 'dropout_rate': 0.15821842432917144, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 330: Value=0.004763436715612526, Params={'hidden_dim': 74, 'num_layers': 2, 'learning_rate': 0.00014127773319836778, 'weight_decay': 0.0006542180004778281, 'dropout_rate': 0.14813294255560386, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 331: Value=0.005829502401158339, Params={'hidden_dim': 66, 'num_layers': 2, 'learning_rate': 0.00018813228464717446, 'weight_decay': 0.0005587302781291349, 'dropout_rate': 0.12100712417541253, 'optimizer': 'RMSprop', 'activation_function': 'sigmoid'}
Trial 332: Value=0.009693152866470463, Params={'hidden_dim': 62, 'num_layers': 10, 'learning_rate': 0.0002148264036836735, 'weight_decay': 0.0008111763873835096, 'dropout_rate': 0.14139084502473964, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 333: Value=0.02789179421027109, Params={'hidden_dim': 91, 'num_layers': 2, 'learning_rate': 0.000125775196227979, 'weight_decay': 0.0004605485914305303, 'dropout_rate': 0.11502969264414746, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 334: Value=0.004840768134276364, Params={'hidden_dim': 56, 'num_layers': 2, 'learning_rate': 0.00015965337475609863, 'weight_decay': 0.0010492410728739582, 'dropout_rate': 0.1483351641417552, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 335: Value=0.0048068192069501995, Params={'hidden_dim': 78, 'num_layers': 3, 'learning_rate': 0.00011008235597582151, 'weight_decay': 0.0006092910980271572, 'dropout_rate': 0.1271295734995984, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 336: Value=0.004718931534620853, Params={'hidden_dim': 69, 'num_layers': 2, 'learning_rate': 0.0002190645932413231, 'weight_decay': 0.0004082861199113678, 'dropout_rate': 0.11505021301448447, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 337: Value=0.040091400481848866, Params={'hidden_dim': 67, 'num_layers': 2, 'learning_rate': 0.00025337184983247616, 'weight_decay': 5.551826895738246e-06, 'dropout_rate': 0.12146976203819174, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 338: Value=0.03980011249205782, Params={'hidden_dim': 60, 'num_layers': 2, 'learning_rate': 0.00017290491838731545, 'weight_decay': 0.009042305228308501, 'dropout_rate': 0.1358422597867191, 'optimizer': 'AdamW', 'activation_function': 'leaky_relu'}
Trial 339: Value=0.008585144987708022, Params={'hidden_dim': 84, 'num_layers': 13, 'learning_rate': 0.00022484473994104258, 'weight_decay': 0.0008245340151294434, 'dropout_rate': 0.4135240398259938, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 340: Value=0.006101624722784772, Params={'hidden_dim': 106, 'num_layers': 2, 'learning_rate': 0.0001508348048175504, 'weight_decay': 0.0006014738170975813, 'dropout_rate': 0.12626002651803594, 'optimizer': 'RMSprop', 'activation_function': 'tanh'}
Trial 341: Value=0.004757559075032529, Params={'hidden_dim': 50, 'num_layers': 2, 'learning_rate': 0.0002796877884983, 'weight_decay': 0.00045175277711180246, 'dropout_rate': 0.1659459555092121, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 342: Value=0.010444906533620476, Params={'hidden_dim': 5, 'num_layers': 2, 'learning_rate': 0.00019198688073480285, 'weight_decay': 0.0012438486423969317, 'dropout_rate': 0.156558123078364, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 343: Value=0.05162289144381027, Params={'hidden_dim': 73, 'num_layers': 2, 'learning_rate': 0.0003370553837781763, 'weight_decay': 8.190244243196412e-08, 'dropout_rate': 0.14319644233926013, 'optimizer': 'SGD', 'activation_function': 'leaky_relu'}
Trial 344: Value=0.004768321299502586, Params={'hidden_dim': 63, 'num_layers': 3, 'learning_rate': 0.00013157797515326493, 'weight_decay': 0.0008093350049142007, 'dropout_rate': 0.11515854552863451, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 345: Value=0.04196001320246432, Params={'hidden_dim': 78, 'num_layers': 2, 'learning_rate': 0.00016544659659048096, 'weight_decay': 0.00033159132482449234, 'dropout_rate': 0.1304359967390623, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 346: Value=0.0057084080304187455, Params={'hidden_dim': 68, 'num_layers': 3, 'learning_rate': 0.00023301164412255855, 'weight_decay': 0.0004962035467272358, 'dropout_rate': 0.12055556201334472, 'optimizer': 'RAdam', 'activation_function': 'leaky_relu'}
Trial 347: Value=0.0048208981080274035, Params={'hidden_dim': 54, 'num_layers': 2, 'learning_rate': 0.0001904901571048064, 'weight_decay': 0.0006698197841592139, 'dropout_rate': 0.1388799823077955, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 348: Value=0.006946650374060948, Params={'hidden_dim': 15, 'num_layers': 3, 'learning_rate': 0.0002693410409377896, 'weight_decay': 0.00040262149926398956, 'dropout_rate': 0.11509145213569869, 'optimizer': 'Adam', 'activation_function': 'leaky_relu'}
Trial 349: Value=0.0053206243602154915, Params={'hidden_dim': 85, 'num_layers': 2, 'learning_rate': 0.00039022343050677593, 'weight_decay': 0.00230384254034147, 'dropout_rate': 0.40018300985128996, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 350: Value=0.005319336570329634, Params={'hidden_dim': 60, 'num_layers': 3, 'learning_rate': 0.000212646956662652, 'weight_decay': 0.001763743609002866, 'dropout_rate': 0.12837566992567134, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 351: Value=0.004831311611252022, Params={'hidden_dim': 73, 'num_layers': 2, 'learning_rate': 0.00016440926021993427, 'weight_decay': 0.0009611354893219816, 'dropout_rate': 0.14761408422995742, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 352: Value=0.004741612841406793, Params={'hidden_dim': 67, 'num_layers': 3, 'learning_rate': 0.00014041420686592462, 'weight_decay': 0.0005391871559806276, 'dropout_rate': 0.13553276423275468, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 353: Value=0.036454544562273386, Params={'hidden_dim': 65, 'num_layers': 3, 'learning_rate': 0.00010625630859052059, 'weight_decay': 0.00030749587518950444, 'dropout_rate': 0.13566469560422892, 'optimizer': 'NAdam', 'activation_function': 'relu'}
Trial 354: Value=0.02202150068136206, Params={'hidden_dim': 56, 'num_layers': 12, 'learning_rate': 0.0001369944791326954, 'weight_decay': 0.0005181282153878226, 'dropout_rate': 0.1231587954903178, 'optimizer': 'RMSprop', 'activation_function': 'sigmoid'}
Trial 355: Value=0.005951212134261024, Params={'hidden_dim': 68, 'num_layers': 3, 'learning_rate': 0.002080171531673803, 'weight_decay': 0.00038238025936643196, 'dropout_rate': 0.13700743249800768, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 356: Value=0.004890166299939674, Params={'hidden_dim': 62, 'num_layers': 3, 'learning_rate': 0.00012063974720845334, 'weight_decay': 0.000533086292277364, 'dropout_rate': 0.15155156144086718, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 357: Value=0.02772988775234769, Params={'hidden_dim': 73, 'num_layers': 4, 'learning_rate': 9.219494880440824e-05, 'weight_decay': 7.99769689996087e-06, 'dropout_rate': 0.11133592639805874, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 358: Value=0.0251099694422442, Params={'hidden_dim': 68, 'num_layers': 3, 'learning_rate': 0.00013835293215769097, 'weight_decay': 0.0002872297810833169, 'dropout_rate': 0.14145678508607695, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 359: Value=0.004743584460562531, Params={'hidden_dim': 59, 'num_layers': 3, 'learning_rate': 0.00015735712311332455, 'weight_decay': 0.0004490046612671805, 'dropout_rate': 0.131224178492598, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 360: Value=0.004766996828556855, Params={'hidden_dim': 77, 'num_layers': 3, 'learning_rate': 0.00017379938726135968, 'weight_decay': 0.0006437912719784766, 'dropout_rate': 0.12160659494145702, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 361: Value=0.004914355936930416, Params={'hidden_dim': 51, 'num_layers': 2, 'learning_rate': 0.00014594981822636205, 'weight_decay': 0.0009437135343800306, 'dropout_rate': 0.11417034099865649, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 362: Value=0.004660380822387005, Params={'hidden_dim': 63, 'num_layers': 4, 'learning_rate': 0.00012169347077057942, 'weight_decay': 0.000358000085002088, 'dropout_rate': 0.12824288602777034, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 363: Value=0.004879299669850825, Params={'hidden_dim': 56, 'num_layers': 4, 'learning_rate': 0.00011535924479724353, 'weight_decay': 0.0002919621185956119, 'dropout_rate': 0.12829136788735054, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 364: Value=0.004797931465224625, Params={'hidden_dim': 64, 'num_layers': 4, 'learning_rate': 9.943215316960813e-05, 'weight_decay': 0.00035128695919098063, 'dropout_rate': 0.1367144218047757, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 365: Value=0.015479511397227254, Params={'hidden_dim': 60, 'num_layers': 4, 'learning_rate': 0.0002965403128254445, 'weight_decay': 0.00018103215393445733, 'dropout_rate': 0.18086557919351282, 'optimizer': 'AdamW', 'activation_function': 'tanh'}
Trial 366: Value=0.004838879757646228, Params={'hidden_dim': 64, 'num_layers': 3, 'learning_rate': 0.0002329271793015332, 'weight_decay': 0.00023956733661279302, 'dropout_rate': 0.12114685541246985, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 367: Value=0.0047098630661153345, Params={'hidden_dim': 54, 'num_layers': 3, 'learning_rate': 0.0001785507811561981, 'weight_decay': 0.0004142140156880514, 'dropout_rate': 0.1462453218426764, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 368: Value=0.004844759602412156, Params={'hidden_dim': 53, 'num_layers': 4, 'learning_rate': 0.00018935162479709574, 'weight_decay': 0.00037067640588277136, 'dropout_rate': 0.1465804057327326, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 369: Value=0.004836968519701254, Params={'hidden_dim': 49, 'num_layers': 3, 'learning_rate': 0.0002548024089932256, 'weight_decay': 0.00028393895220285337, 'dropout_rate': 0.15854222579597446, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 370: Value=0.004830690087219498, Params={'hidden_dim': 55, 'num_layers': 4, 'learning_rate': 0.00021490674296141435, 'weight_decay': 0.0004190367466952892, 'dropout_rate': 0.15331442083183433, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 371: Value=0.03601349542744256, Params={'hidden_dim': 58, 'num_layers': 3, 'learning_rate': 0.0001768386124111598, 'weight_decay': 0.00022660271278720695, 'dropout_rate': 0.10888403365401042, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
